path:hsa00072	Synthesis and degradation of ketone bodies	9606.ENSP00000196371;9606.ENSP00000363614;9606.ENSP00000322706;9606.ENSP00000296424;9606.ENSP00000350914;9606.ENSP00000356015;9606.ENSP00000265838;9606.ENSP00000361914;9606.ENSP00000358414;9606.ENSP00000381654
path:hsa00100	Steroid biosynthesis	9606.ENSP00000228606;9606.ENSP00000417052;9606.ENSP00000347717;9606.ENSP00000254521;9606.ENSP00000361151;9606.ENSP00000334592;9606.ENSP00000337354;9606.ENSP00000216862;9606.ENSP00000265896;9606.ENSP00000360316;9606.ENSP00000261507;9606.ENSP00000003100;9606.ENSP00000301466;9606.ENSP00000348762;9606.ENSP00000359297;9606.ENSP00000220584;9606.ENSP00000264027;9606.ENSP00000279263;9606.ENSP00000356591
path:hsa00120	Primary bile acid biosynthesis	9606.ENSP00000242375;9606.ENSP00000258415;9606.ENSP00000297679;9606.ENSP00000318867;9606.ENSP00000310721;9606.ENSP00000275016;9606.ENSP00000217455;9606.ENSP00000371517;9606.ENSP00000261835;9606.ENSP00000263126;9606.ENSP00000307697;9606.ENSP00000301645;9606.ENSP00000360569;9606.ENSP00000420914;9606.ENSP00000360918;9606.ENSP00000259407;9606.ENSP00000263093
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	9606.ENSP00000348234;9606.ENSP00000353998;9606.ENSP00000333946;9606.ENSP00000319788;9606.ENSP00000233838;9606.ENSP00000378426;9606.ENSP00000289004;9606.ENSP00000310873;9606.ENSP00000254759;9606.ENSP00000322316;9606.ENSP00000288532
path:hsa00140	Steroid hormone biosynthesis	9606.ENSP00000305742;9606.ENSP00000354511;9606.ENSP00000254521;9606.ENSP00000358903;9606.ENSP00000364412;9606.ENSP00000310721;9606.ENSP00000362549;9606.ENSP00000337915;9606.ENSP00000264228;9606.ENSP00000370129;9606.ENSP00000201586;9606.ENSP00000252945;9606.ENSP00000363794;9606.ENSP00000260433;9606.ENSP00000242375;9606.ENSP00000337450;9606.ENSP00000334276;9606.ENSP00000222982;9606.ENSP00000263126;9606.ENSP00000304811;9606.ENSP00000301645;9606.ENSP00000358424;9606.ENSP00000261465;9606.ENSP00000305221;9606.ENSP00000362508;9606.ENSP00000318631;9606.ENSP00000369927;9606.ENSP00000278353;9606.ENSP00000217961;9606.ENSP00000268053;9606.ENSP00000226444;9606.ENSP00000199936;9606.ENSP00000358421;9606.ENSP00000274192;9606.ENSP00000370254;9606.ENSP00000362513;9606.ENSP00000466799;9606.ENSP00000342007;9606.ENSP00000265403;9606.ENSP00000418532;9606.ENSP00000387888;9606.ENSP00000362525;9606.ENSP00000369050;9606.ENSP00000346768;9606.ENSP00000387683;9606.ENSP00000292427;9606.ENSP00000325822;9606.ENSP00000341045;9606.ENSP00000343838;9606.ENSP00000303174;9606.ENSP00000304845;9606.ENSP00000251566;9606.ENSP00000320401;9606.ENSP00000408860;9606.ENSP00000316786;9606.ENSP00000260630
path:hsa00190	Oxidative phosphorylation	9606.ENSP00000354499;9606.ENSP00000354687;9606.ENSP00000276689;9606.ENSP00000309565;9606.ENSP00000362873;9606.ENSP00000304891;9606.ENSP00000300688;9606.ENSP00000364649;9606.ENSP00000356953;9606.ENSP00000247866;9606.ENSP00000423673;9606.ENSP00000377411;9606.ENSP00000377878;9606.ENSP00000234301;9606.ENSP00000389649;9606.ENSP00000317780;9606.ENSP00000354813;9606.ENSP00000332247;9606.ENSP00000352522;9606.ENSP00000327268;9606.ENSP00000229379;9606.ENSP00000184266;9606.ENSP00000315774;9606.ENSP00000299335;9606.ENSP00000354665;9606.ENSP00000329757;9606.ENSP00000290299;9606.ENSP00000367934;9606.ENSP00000272238;9606.ENSP00000007516;9606.ENSP00000265686;9606.ENSP00000218548;9606.ENSP00000281031;9606.ENSP00000358777;9606.ENSP00000268668;9606.ENSP00000334216;9606.ENSP00000299166;9606.ENSP00000261643;9606.ENSP00000247655;9606.ENSP00000317159;9606.ENSP00000259037;9606.ENSP00000355265;9606.ENSP00000305964;9606.ENSP00000330787;9606.ENSP00000343885;9606.ENSP00000354632;9606.ENSP00000253413;9606.ENSP00000261070;9606.ENSP00000302194;9606.ENSP00000233627;9606.ENSP00000432614;9606.ENSP00000203407;9606.ENSP00000431605;9606.ENSP00000282050;9606.ENSP00000287490;9606.ENSP00000265500;9606.ENSP00000392709;9606.ENSP00000258424;9606.ENSP00000234396;9606.ENSP00000389160;9606.ENSP00000215565;9606.ENSP00000276390;9606.ENSP00000379203;9606.ENSP00000398290;9606.ENSP00000358737;9606.ENSP00000243997;9606.ENSP00000354554;9606.ENSP00000362058;9606.ENSP00000246554;9606.ENSP00000359098;9606.ENSP00000215375;9606.ENSP00000292475;9606.ENSP00000281087;9606.ENSP00000263774;9606.ENSP00000301587;9606.ENSP00000306397;9606.ENSP00000354876;9606.ENSP00000417656;9606.ENSP00000273398;9606.ENSP00000253856;9606.ENSP00000262030;9606.ENSP00000284727;9606.ENSP00000296684;9606.ENSP00000418842;9606.ENSP00000357835;9606.ENSP00000356972;9606.ENSP00000262623;9606.ENSP00000292907;9606.ENSP00000266544;9606.ENSP00000354728;9606.ENSP00000330737;9606.ENSP00000360492;9606.ENSP00000355046;9606.ENSP00000427941;9606.ENSP00000470609;9606.ENSP00000363162;9606.ENSP00000274137;9606.ENSP00000322450;9606.ENSP00000290949;9606.ENSP00000320672;9606.ENSP00000354961;9606.ENSP00000268379;9606.ENSP00000321260;9606.ENSP00000216442;9606.ENSP00000355206;9606.ENSP00000347988;9606.ENSP00000364699;9606.ENSP00000365243;9606.ENSP00000264649;9606.ENSP00000362329;9606.ENSP00000339720;9606.ENSP00000466420;9606.ENSP00000252102;9606.ENSP00000354982;9606.ENSP00000285393;9606.ENSP00000264932;9606.ENSP00000252711;9606.ENSP00000306003;9606.ENSP00000348205;9606.ENSP00000297564;9606.ENSP00000346196;9606.ENSP00000253452;9606.ENSP00000340568;9606.ENSP00000237889;9606.ENSP00000016171;9606.ENSP00000332887;9606.ENSP00000349142;9606.ENSP00000287022;9606.ENSP00000369176
path:hsa00220	Arginine biosynthesis	9606.ENSP00000378408;9606.ENSP00000402608;9606.ENSP00000261783;9606.ENSP00000359539;9606.ENSP00000327589;9606.ENSP00000345282;9606.ENSP00000039007;9606.ENSP00000357066;9606.ENSP00000277865;9606.ENSP00000245206;9606.ENSP00000384296;9606.ENSP00000293404;9606.ENSP00000253004;9606.ENSP00000317379;9606.ENSP00000337459;9606.ENSP00000307900;9606.ENSP00000327251;9606.ENSP00000307188;9606.ENSP00000297494;9606.ENSP00000310447
path:hsa00230	Purine metabolism	9606.ENSP00000376886;9606.ENSP00000368727;9606.ENSP00000338397;9606.ENSP00000263331;9606.ENSP00000376889;9606.ENSP00000238018;9606.ENSP00000264220;9606.ENSP00000286648;9606.ENSP00000013034;9606.ENSP00000272645;9606.ENSP00000355493;9606.ENSP00000298556;9606.ENSP00000296223;9606.ENSP00000342952;9606.ENSP00000371230;9606.ENSP00000222567;9606.ENSP00000368349;9606.ENSP00000252505;9606.ENSP00000373674;9606.ENSP00000334910;9606.ENSP00000354532;9606.ENSP00000331111;9606.ENSP00000347689;9606.ENSP00000312126;9606.ENSP00000379802;9606.ENSP00000342087;9606.ENSP00000311405;9606.ENSP00000356825;9606.ENSP00000322175;9606.ENSP00000347345;9606.ENSP00000420176;9606.ENSP00000221859;9606.ENSP00000410186;9606.ENSP00000262607;9606.ENSP00000219302;9606.ENSP00000287600;9606.ENSP00000282096;9606.ENSP00000339479;9606.ENSP00000236959;9606.ENSP00000310661;9606.ENSP00000346577;9606.ENSP00000347046;9606.ENSP00000313490;9606.ENSP00000430075;9606.ENSP00000270474;9606.ENSP00000389948;9606.ENSP00000371393;9606.ENSP00000242210;9606.ENSP00000361965;9606.ENSP00000379496;9606.ENSP00000263857;9606.ENSP00000369099;9606.ENSP00000353770;9606.ENSP00000333490;9606.ENSP00000307674;9606.ENSP00000335246;9606.ENSP00000267584;9606.ENSP00000382058;9606.ENSP00000365840;9606.ENSP00000431245;9606.ENSP00000350491;9606.ENSP00000322570;9606.ENSP00000342889;9606.ENSP00000424595;9606.ENSP00000286355;9606.ENSP00000357669;9606.ENSP00000403852;9606.ENSP00000286063;9606.ENSP00000254235;9606.ENSP00000311453;9606.ENSP00000216194;9606.ENSP00000346921;9606.ENSP00000228347;9606.ENSP00000331574;9606.ENSP00000330721;9606.ENSP00000355587;9606.ENSP00000294016;9606.ENSP00000293860;9606.ENSP00000243052;9606.ENSP00000419361;9606.ENSP00000418603;9606.ENSP00000264093;9606.ENSP00000303575;9606.ENSP00000386105;9606.ENSP00000300738;9606.ENSP00000420295;9606.ENSP00000361446;9606.ENSP00000371236;9606.ENSP00000339933;9606.ENSP00000320171;9606.ENSP00000296518;9606.ENSP00000264424;9606.ENSP00000259727;9606.ENSP00000314949;9606.ENSP00000347213;9606.ENSP00000360502;9606.ENSP00000350265;9606.ENSP00000298545;9606.ENSP00000215587;9606.ENSP00000351520;9606.ENSP00000297323;9606.ENSP00000345502;9606.ENSP00000385632;9606.ENSP00000356785;9606.ENSP00000361512;9606.ENSP00000328412;9606.ENSP00000254854;9606.ENSP00000219252;9606.ENSP00000354238;9606.ENSP00000264917;9606.ENSP00000332116;9606.ENSP00000419628;9606.ENSP00000355689;9606.ENSP00000245552;9606.ENSP00000318066;9606.ENSP00000352904;9606.ENSP00000251810;9606.ENSP00000416658;9606.ENSP00000266395;9606.ENSP00000265465;9606.ENSP00000218006;9606.ENSP00000363284;9606.ENSP00000406046;9606.ENSP00000438284;9606.ENSP00000261170;9606.ENSP00000321584;9606.ENSP00000216367;9606.ENSP00000419851;9606.ENSP00000367029;9606.ENSP00000260600;9606.ENSP00000301788;9606.ENSP00000301825;9606.ENSP00000286621;9606.ENSP00000360250;9606.ENSP00000368645;9606.ENSP00000362249;9606.ENSP00000366828;9606.ENSP00000312735;9606.ENSP00000324124;9606.ENSP00000292614;9606.ENSP00000271620;9606.ENSP00000263681;9606.ENSP00000334564;9606.ENSP00000406157;9606.ENSP00000382595;9606.ENSP00000433415;9606.ENSP00000311368;9606.ENSP00000256578;9606.ENSP00000392859;9606.ENSP00000235628;9606.ENSP00000360561;9606.ENSP00000219479;9606.ENSP00000341083;9606.ENSP00000351957;9606.ENSP00000333019;9606.ENSP00000369456;9606.ENSP00000393953;9606.ENSP00000302478;9606.ENSP00000367615;9606.ENSP00000291539;9606.ENSP00000255266;9606.ENSP00000345096;9606.ENSP00000257770;9606.ENSP00000361465;9606.ENSP00000381504;9606.ENSP00000422375;9606.ENSP00000303088;9606.ENSP00000358320;9606.ENSP00000265174
path:hsa00232	Caffeine metabolism	9606.ENSP00000368727;9606.ENSP00000443194;9606.ENSP00000301141;9606.ENSP00000286479;9606.ENSP00000342007
path:hsa00240	Pyrimidine metabolism	9606.ENSP00000376886;9606.ENSP00000338397;9606.ENSP00000263331;9606.ENSP00000376889;9606.ENSP00000286648;9606.ENSP00000013034;9606.ENSP00000272645;9606.ENSP00000296223;9606.ENSP00000222567;9606.ENSP00000368349;9606.ENSP00000373674;9606.ENSP00000354532;9606.ENSP00000331111;9606.ENSP00000347345;9606.ENSP00000420176;9606.ENSP00000362481;9606.ENSP00000370376;9606.ENSP00000221859;9606.ENSP00000410186;9606.ENSP00000219302;9606.ENSP00000339479;9606.ENSP00000414334;9606.ENSP00000322524;9606.ENSP00000389948;9606.ENSP00000242210;9606.ENSP00000263857;9606.ENSP00000353770;9606.ENSP00000307674;9606.ENSP00000276651;9606.ENSP00000335246;9606.ENSP00000382058;9606.ENSP00000365840;9606.ENSP00000350491;9606.ENSP00000322570;9606.ENSP00000387230;9606.ENSP00000342889;9606.ENSP00000352222;9606.ENSP00000403852;9606.ENSP00000232607;9606.ENSP00000264705;9606.ENSP00000346155;9606.ENSP00000228347;9606.ENSP00000256722;9606.ENSP00000293860;9606.ENSP00000418603;9606.ENSP00000356853;9606.ENSP00000300738;9606.ENSP00000386105;9606.ENSP00000361446;9606.ENSP00000304802;9606.ENSP00000315644;9606.ENSP00000314949;9606.ENSP00000350265;9606.ENSP00000215587;9606.ENSP00000219240;9606.ENSP00000351520;9606.ENSP00000356785;9606.ENSP00000219252;9606.ENSP00000354238;9606.ENSP00000245552;9606.ENSP00000352904;9606.ENSP00000252029;9606.ENSP00000251810;9606.ENSP00000416658;9606.ENSP00000265465;9606.ENSP00000363284;9606.ENSP00000406046;9606.ENSP00000349576;9606.ENSP00000216367;9606.ENSP00000367029;9606.ENSP00000301788;9606.ENSP00000301825;9606.ENSP00000360250;9606.ENSP00000368645;9606.ENSP00000366828;9606.ENSP00000312735;9606.ENSP00000324124;9606.ENSP00000292614;9606.ENSP00000263681;9606.ENSP00000334564;9606.ENSP00000301634;9606.ENSP00000433415;9606.ENSP00000311368;9606.ENSP00000361289;9606.ENSP00000235628;9606.ENSP00000219479;9606.ENSP00000360561;9606.ENSP00000393953;9606.ENSP00000302478;9606.ENSP00000330032;9606.ENSP00000361699;9606.ENSP00000359211;9606.ENSP00000257770;9606.ENSP00000361465;9606.ENSP00000303088;9606.ENSP00000324343;9606.ENSP00000364212;9606.ENSP00000358320
