path:mmu00010	Glycolysis / Gluconeogenesis	10090.ENSMUSP00000077687;10090.ENSMUSP00000099984;10090.ENSMUSP00000074317;10090.ENSMUSP00000130858;10090.ENSMUSP00000020522;10090.ENSMUSP00000030455;10090.ENSMUSP00000020768;10090.ENSMUSP00000026266;10090.ENSMUSP00000028004;10090.ENSMUSP00000136544;10090.ENSMUSP00000032373;10090.ENSMUSP00000033662;10090.ENSMUSP00000015278;10090.ENSMUSP00000136334;10090.ENSMUSP00000020277;10090.ENSMUSP00000072620;10090.ENSMUSP00000049355;10090.ENSMUSP00000117030;10090.ENSMUSP00000051215;10090.ENSMUSP00000113213;10090.ENSMUSP00000040580;10090.ENSMUSP00000019246;10090.ENSMUSP00000073764;10090.ENSMUSP00000034567;10090.ENSMUSP00000038555;10090.ENSMUSP00000013458;10090.ENSMUSP00000022268;10090.ENSMUSP00000025827;10090.ENSMUSP00000065089;10090.ENSMUSP00000060774;10090.ENSMUSP00000028944;10090.ENSMUSP00000047393;10090.ENSMUSP00000000642;10090.ENSMUSP00000019469;10090.ENSMUSP00000061227;10090.ENSMUSP00000087633;10090.ENSMUSP00000011896;10090.ENSMUSP00000115356;10090.ENSMUSP00000059801;10090.ENSMUSP00000090564;10090.ENSMUSP00000029017;10090.ENSMUSP00000056276;10090.ENSMUSP00000084582;10090.ENSMUSP00000021907;10090.ENSMUSP00000035417;10090.ENSMUSP00000103267;10090.ENSMUSP00000062584;10090.ENSMUSP00000014545;10090.ENSMUSP00000084846;10090.ENSMUSP00000029135;10090.ENSMUSP00000005964;10090.ENSMUSP00000064276;10090.ENSMUSP00000033585;10090.ENSMUSP00000079727;10090.ENSMUSP00000004232;10090.ENSMUSP00000029987;10090.ENSMUSP00000041260;10090.ENSMUSP00000072195;10090.ENSMUSP00000005364;10090.ENSMUSP00000031411;10090.ENSMUSP00000017534;10090.ENSMUSP00000004378;10090.ENSMUSP00000034834;10090.ENSMUSP00000106481
path:mmu00020	Citrate cycle (TCA cycle)	10090.ENSMUSP00000010007;10090.ENSMUSP00000106968;10090.ENSMUSP00000103007;10090.ENSMUSP00000033662;10090.ENSMUSP00000060346;10090.ENSMUSP00000022480;10090.ENSMUSP00000078774;10090.ENSMUSP00000100038;10090.ENSMUSP00000063825;10090.ENSMUSP00000091041;10090.ENSMUSP00000027810;10090.ENSMUSP00000005826;10090.ENSMUSP00000034567;10090.ENSMUSP00000038555;10090.ENSMUSP00000028892;10090.ENSMUSP00000060774;10090.ENSMUSP00000000175;10090.ENSMUSP00000019323;10090.ENSMUSP00000022706;10090.ENSMUSP00000099938;10090.ENSMUSP00000029017;10090.ENSMUSP00000127526;10090.ENSMUSP00000065113;10090.ENSMUSP00000022062;10090.ENSMUSP00000106481;10090.ENSMUSP00000056502;10090.ENSMUSP00000023116;10090.ENSMUSP00000022268;10090.ENSMUSP00000095316;10090.ENSMUSP00000052373;10090.ENSMUSP00000103012
path:mmu00030	Pentose phosphate pathway	10090.ENSMUSP00000077687;10090.ENSMUSP00000010127;10090.ENSMUSP00000027157;10090.ENSMUSP00000060218;10090.ENSMUSP00000020522;10090.ENSMUSP00000084959;10090.ENSMUSP00000030830;10090.ENSMUSP00000131163;10090.ENSMUSP00000047761;10090.ENSMUSP00000031018;10090.ENSMUSP00000049355;10090.ENSMUSP00000117030;10090.ENSMUSP00000034264;10090.ENSMUSP00000023832;10090.ENSMUSP00000026576;10090.ENSMUSP00000033809;10090.ENSMUSP00000026839;10090.ENSMUSP00000002025;10090.ENSMUSP00000061227;10090.ENSMUSP00000133736;10090.ENSMUSP00000059801;10090.ENSMUSP00000022529;10090.ENSMUSP00000090564;10090.ENSMUSP00000084582;10090.ENSMUSP00000133931;10090.ENSMUSP00000021907;10090.ENSMUSP00000084846;10090.ENSMUSP00000064158;10090.ENSMUSP00000081141;10090.ENSMUSP00000029987;10090.ENSMUSP00000017534;10090.ENSMUSP00000004327
path:mmu00040	Pentose and glucuronate interconversions	10090.ENSMUSP00000092233;10090.ENSMUSP00000027157;10090.ENSMUSP00000014263;10090.ENSMUSP00000030455;10090.ENSMUSP00000077899;10090.ENSMUSP00000078740;10090.ENSMUSP00000031195;10090.ENSMUSP00000039114;10090.ENSMUSP00000047254;10090.ENSMUSP00000031183;10090.ENSMUSP00000037258;10090.ENSMUSP00000068282;10090.ENSMUSP00000022517;10090.ENSMUSP00000061646;10090.ENSMUSP00000007449;10090.ENSMUSP00000099939;10090.ENSMUSP00000073444;10090.ENSMUSP00000075255;10090.ENSMUSP00000026613;10090.ENSMUSP00000072598;10090.ENSMUSP00000108762;10090.ENSMUSP00000106180;10090.ENSMUSP00000095263;10090.ENSMUSP00000108767;10090.ENSMUSP00000058683;10090.ENSMUSP00000031181;10090.ENSMUSP00000072803;10090.ENSMUSP00000100045;10090.ENSMUSP00000011526;10090.ENSMUSP00000026144;10090.ENSMUSP00000031103;10090.ENSMUSP00000040244;10090.ENSMUSP00000031186
path:mmu00051	Fructose and mannose metabolism	10090.ENSMUSP00000057197;10090.ENSMUSP00000077687;10090.ENSMUSP00000036898;10090.ENSMUSP00000130858;10090.ENSMUSP00000020522;10090.ENSMUSP00000039271;10090.ENSMUSP00000023396;10090.ENSMUSP00000020277;10090.ENSMUSP00000039114;10090.ENSMUSP00000023231;10090.ENSMUSP00000023112;10090.ENSMUSP00000117030;10090.ENSMUSP00000051215;10090.ENSMUSP00000040244;10090.ENSMUSP00000007449;10090.ENSMUSP00000035564;10090.ENSMUSP00000000642;10090.ENSMUSP00000048643;10090.ENSMUSP00000059801;10090.ENSMUSP00000044556;10090.ENSMUSP00000090564;10090.ENSMUSP00000068939;10090.ENSMUSP00000021907;10090.ENSMUSP00000129122;10090.ENSMUSP00000031053;10090.ENSMUSP00000084846;10090.ENSMUSP00000017534;10090.ENSMUSP00000100045;10090.ENSMUSP00000036696;10090.ENSMUSP00000029987;10090.ENSMUSP00000072195;10090.ENSMUSP00000034856;10090.ENSMUSP00000079692;10090.ENSMUSP00000106180;10090.ENSMUSP00000066426
path:mmu00052	Galactose metabolism	10090.ENSMUSP00000071466;10090.ENSMUSP00000020522;10090.ENSMUSP00000030266;10090.ENSMUSP00000081745;10090.ENSMUSP00000020277;10090.ENSMUSP00000039114;10090.ENSMUSP00000117030;10090.ENSMUSP00000051215;10090.ENSMUSP00000021114;10090.ENSMUSP00000040580;10090.ENSMUSP00000026666;10090.ENSMUSP00000040244;10090.ENSMUSP00000007449;10090.ENSMUSP00000099939;10090.ENSMUSP00000000642;10090.ENSMUSP00000019469;10090.ENSMUSP00000061227;10090.ENSMUSP00000059801;10090.ENSMUSP00000055803;10090.ENSMUSP00000033621;10090.ENSMUSP00000084582;10090.ENSMUSP00000116898;10090.ENSMUSP00000073190;10090.ENSMUSP00000023726;10090.ENSMUSP00000099599;10090.ENSMUSP00000030121;10090.ENSMUSP00000064276;10090.ENSMUSP00000100045;10090.ENSMUSP00000072195;10090.ENSMUSP00000091742;10090.ENSMUSP00000005364;10090.ENSMUSP00000099984
path:mmu00053	Ascorbate and aldarate metabolism	10090.ENSMUSP00000092233;10090.ENSMUSP00000014263;10090.ENSMUSP00000060912;10090.ENSMUSP00000078740;10090.ENSMUSP00000031195;10090.ENSMUSP00000028004;10090.ENSMUSP00000031183;10090.ENSMUSP00000037258;10090.ENSMUSP00000023282;10090.ENSMUSP00000068282;10090.ENSMUSP00000073764;10090.ENSMUSP00000023832;10090.ENSMUSP00000073444;10090.ENSMUSP00000075255;10090.ENSMUSP00000072598;10090.ENSMUSP00000108762;10090.ENSMUSP00000095263;10090.ENSMUSP00000108767;10090.ENSMUSP00000058683;10090.ENSMUSP00000031181;10090.ENSMUSP00000072803;10090.ENSMUSP00000031411;10090.ENSMUSP00000041260;10090.ENSMUSP00000065089;10090.ENSMUSP00000031103;10090.ENSMUSP00000031186
path:mmu00061	Fatty acid biosynthesis	10090.ENSMUSP00000031583;10090.ENSMUSP00000020843;10090.ENSMUSP00000052872;10090.ENSMUSP00000022311;10090.ENSMUSP00000034046;10090.ENSMUSP00000104532;10090.ENSMUSP00000027955;10090.ENSMUSP00000046585;10090.ENSMUSP00000034822;10090.ENSMUSP00000033634;10090.ENSMUSP00000025048;10090.ENSMUSP00000051569;10090.ENSMUSP00000045291;10090.ENSMUSP00000042352
path:mmu00062	Fatty acid elongation	10090.ENSMUSP00000034904;10090.ENSMUSP00000112988;10090.ENSMUSP00000126448;10090.ENSMUSP00000029610;10090.ENSMUSP00000071351;10090.ENSMUSP00000028619;10090.ENSMUSP00000021649;10090.ENSMUSP00000129121;10090.ENSMUSP00000042019;10090.ENSMUSP00000030412;10090.ENSMUSP00000026841;10090.ENSMUSP00000037348;10090.ENSMUSP00000056099;10090.ENSMUSP00000021652;10090.ENSMUSP00000074397;10090.ENSMUSP00000062841;10090.ENSMUSP00000030221;10090.ENSMUSP00000022207;10090.ENSMUSP00000021793;10090.ENSMUSP00000003436;10090.ENSMUSP00000021653;10090.ENSMUSP00000068071;10090.ENSMUSP00000036357;10090.ENSMUSP00000034796;10090.ENSMUSP00000029794;10090.ENSMUSP00000030742;10090.ENSMUSP00000026538;10090.ENSMUSP00000120976;10090.ENSMUSP00000019382;10090.ENSMUSP00000006557;10090.ENSMUSP00000044955;10090.ENSMUSP00000060462
path:mmu00071	Fatty acid degradation	10090.ENSMUSP00000034046;10090.ENSMUSP00000034822;10090.ENSMUSP00000015829;10090.ENSMUSP00000081370;10090.ENSMUSP00000028004;10090.ENSMUSP00000029610;10090.ENSMUSP00000033634;10090.ENSMUSP00000072483;10090.ENSMUSP00000069539;10090.ENSMUSP00000026841;10090.ENSMUSP00000037348;10090.ENSMUSP00000042351;10090.ENSMUSP00000104936;10090.ENSMUSP00000031524;10090.ENSMUSP00000104532;10090.ENSMUSP00000046585;10090.ENSMUSP00000073764;10090.ENSMUSP00000013458;10090.ENSMUSP00000025835;10090.ENSMUSP00000099634;10090.ENSMUSP00000131735;10090.ENSMUSP00000024946;10090.ENSMUSP00000027153;10090.ENSMUSP00000087633;10090.ENSMUSP00000063412;10090.ENSMUSP00000061126;10090.ENSMUSP00000025048;10090.ENSMUSP00000003907;10090.ENSMUSP00000021853;10090.ENSMUSP00000034547;10090.ENSMUSP00000092487;10090.ENSMUSP00000030487;10090.ENSMUSP00000045291;10090.ENSMUSP00000042352;10090.ENSMUSP00000031411;10090.ENSMUSP00000026538;10090.ENSMUSP00000005964;10090.ENSMUSP00000030345;10090.ENSMUSP00000081369;10090.ENSMUSP00000120976;10090.ENSMUSP00000004232;10090.ENSMUSP00000041260;10090.ENSMUSP00000065089;10090.ENSMUSP00000063325;10090.ENSMUSP00000023559;10090.ENSMUSP00000007005;10090.ENSMUSP00000010795
