Node ID: 10090.ENSMUSP00000111501, Between Value: 376.556031802013
Node ID: 10090.ENSMUSP00000055449, Between Value: 0.0
Node ID: 10090.ENSMUSP00000026665, Between Value: 462.0
Node ID: 10090.ENSMUSP00000029013, Between Value: 33.04627039627043
Node ID: 10090.ENSMUSP00000084794, Between Value: 365.2608946608947
Node ID: 10090.ENSMUSP00000018710, Between Value: 3965.7621044284697
Node ID: 10090.ENSMUSP00000101006, Between Value: 1073.1279525733523
Node ID: 10090.ENSMUSP00000004646, Between Value: 0.0
Node ID: 10090.ENSMUSP00000110583, Between Value: 0.0
Node ID: 10090.ENSMUSP00000113800, Between Value: 0.0
Node ID: 10090.ENSMUSP00000100503, Between Value: 0.0
Node ID: 10090.ENSMUSP00000021040, Between Value: 0.0
Node ID: 10090.ENSMUSP00000044472, Between Value: 0.0
Node ID: 10090.ENSMUSP00000105295, Between Value: 1118.6378955715302
Node ID: 10090.ENSMUSP00000124611, Between Value: 0.0
Node ID: 10090.ENSMUSP00000085913, Between Value: 86.78068189979957
Node ID: 10090.ENSMUSP00000007130, Between Value: 3824.0440621470048
Node ID: 10090.ENSMUSP00000069209, Between Value: 0.0
Node ID: 10090.ENSMUSP00000044417, Between Value: 156.0
Node ID: 10090.ENSMUSP00000036270, Between Value: 0.0
Node ID: 10090.ENSMUSP00000031841, Between Value: 4.433449883449884
Node ID: 10090.ENSMUSP00000122422, Between Value: 77.0
Node ID: 10090.ENSMUSP00000048101, Between Value: 0.0
Node ID: 10090.ENSMUSP00000125373, Between Value: 0.0
Node ID: 10090.ENSMUSP00000033699, Between Value: 57.116419691419686
Node ID: 10090.ENSMUSP00000023343, Between Value: 156.0
Node ID: 10090.ENSMUSP00000034046, Between Value: 240.35958188153333
Node ID: 10090.ENSMUSP00000061877, Between Value: 0.0
Node ID: 10090.ENSMUSP00000047950, Between Value: 156.0
Node ID: 10090.ENSMUSP00000025968, Between Value: 2.0
Node ID: 10090.ENSMUSP00000131454, Between Value: 0.0
Node ID: 10090.ENSMUSP00000027153, Between Value: 111.98687572590005
Node ID: 10090.ENSMUSP00000026480, Between Value: 0.0
Node ID: 10090.ENSMUSP00000083620, Between Value: 0.0
Node ID: 10090.ENSMUSP00000044660, Between Value: 0.0
Node ID: 10090.ENSMUSP00000113717, Between Value: 156.0
Node ID: 10090.ENSMUSP00000103007, Between Value: 522.0245305052242
Node ID: 10090.ENSMUSP00000082017, Between Value: 42.838888888888896
Node ID: 10090.ENSMUSP00000026383, Between Value: 0.0
Node ID: 10090.ENSMUSP00000026538, Between Value: 0.0
Node ID: 10090.ENSMUSP00000071720, Between Value: 612.560790931772
Node ID: 10090.ENSMUSP00000119065, Between Value: 309.98754972643064
Node ID: 10090.ENSMUSP00000018274, Between Value: 1207.0
Node ID: 10090.ENSMUSP00000069505, Between Value: 0.0
Node ID: 10090.ENSMUSP00000104890, Between Value: 44.10753119429591
Node ID: 10090.ENSMUSP00000020529, Between Value: 0.0
Node ID: 10090.ENSMUSP00000004770, Between Value: 156.0
Node ID: 10090.ENSMUSP00000009157, Between Value: 0.0
Node ID: 10090.ENSMUSP00000090245, Between Value: 0.0
Node ID: 10090.ENSMUSP00000023396, Between Value: 0.0
Node ID: 10090.ENSMUSP00000098066, Between Value: 1954.4755558485826
Node ID: 10090.ENSMUSP00000010795, Between Value: 514.6404181184674
Node ID: 10090.ENSMUSP00000029925, Between Value: 0.0
Node ID: 10090.ENSMUSP00000071654, Between Value: 0.0
Node ID: 10090.ENSMUSP00000027409, Between Value: 0.0
Node ID: 10090.ENSMUSP00000104069, Between Value: 144.04329004329
Node ID: 10090.ENSMUSP00000043826, Between Value: 0.0
Node ID: 10090.ENSMUSP00000022217, Between Value: 0.0
Node ID: 10090.ENSMUSP00000070726, Between Value: 883.1108763482306
