Klf6
Tbx2
Ngfr
Wnt3
Axin2
Fgf6
Clec2g
Comt
Mcts1
Rnf17
Tom1l2
Hnrnpd
Krit1
Grm6
Hk2
Ddx3x
Dnajc5
Snapin
S100a3
Epn2
Sec24b
Poldip2
Araf
Cfp
Ocrl
Calm1
Gramd1a
Ckb
Cnn1
Fbxo9
Smg5
Mef2d
Chordc1
Rtcb
Capns1
Lrp3
Hoxd13
Nfix
Slc1a5
Uba1
Emd
Taco1
Pdzd4
Srpk3
Idh3g
Pnck
Ssr4
Kmt2a
Foxn1
Hsf2bp
Mybpc3
Slc39a13
Stat6
Peg3
Angptl4
Mdp1
Ranbp3
Dyrk1b
Tsc2
Uck1
Zfp40
ENSMUSG00000002791
Plin4
Tpra1
Arrdc2
Med25
Apoe
Ap1m1
Hmgn2
Cyp2c29
Atp5d
Cdk12
Edar
Sult2b1
Keap1
Btbd2
Etv3
Pex19
Prodh
Slc25a1
Rad23a
Calr
Nfat5
Gys1
Rpl8
Stat5a
Ptrf
Akt2
Cdip1
Psap
mCG_7194
Sst
Ppp1cc
Coro1c
Tax1bp1
Cd33
Tyr
Cnn2
Abca13
Myo9b
Dlst
Pax3
Sgta
Wdr1
Wdr83
Senp3
Corin
Ufd1l
Slc1a3
Mlxipl
Mprip
Celf1
Ndufs3
Por
Eif4g2
Psmb4
Smpd4
Trpv1
Napa
Sra1
Inpp5k
Fam131c
Hspb7
Atp6v1b1
Susd2
Crip2
Pgrmc1
Pvrl4
Ndor1
Ptbp1
Itih1
Slc5a6
Aplp1
Tph2
Sulf2
Ezh1
Ctnnb1
Atp1a4
Mark3
Khsrp
Cct4
Zfp655
Zmiz1
Hnrnph1
Id3
Arid1a
Rplp1
Abhd8
Fgfrl1
Emc10
Fbxw9
Fnbp4
Cers4
Rpl10
Ceacam5
Hdac5
Dynll1
Tmem8c
Rarres2
Pttg1ip
Elk1
Tnpo1
Tex11
Pou6f2
Ubp1
Wnt3a
Taz
Nxf1
Stx5a
Slc47a1
Tnfrsf13b
Prox1
Kiaa0100
Spaca7
Kansl3
Eya4
Acaa1b
Mcoln2
Fuz
4930579F01Rik
Phox2b
Retn
Cdh23
Rps5
Lphn1
Ptprs
Snx31
Pten
Med16
Pax5
Tmem87b
Anapc1
Clec4f
Slc25a11
Elmo3
Tppp3
Tmem208
Ppp1cb
Slc25a13
Ube2i
Sirt2
Hnrnpl
Mtmr1
Abca1
Gdi1
Slamf6
Cybb
Arnt
Lpl
Lama5
Hspa8
Sqstm1
Adamtsl4
Prpsap1
Amdhd1
Dstn
Plgrkt
Nlrp14
Scube1
Srsf6
Plcg1
Kctd2
Dnttip1
Zfp207
Timp2
Igfbp4
Wsb1
Serinc3
Pigt
Slc12a7
Myo1c
Crk
Pitpna
Mfng
Tbx5
Tomm34
Ywhab
Anxa6
Vezf1
Cuedc1
Kansl1
Akap1
Slc13a3
Slc2a4
Acadvl
Tbx3
Mmp20
Slc25a39
Zbtb4
Atp5g3
Acsl1
Myh11
Rad51d
Pank3
Mb
Irf1
Arrb1
Dalrd3
Slc25a22
Atp6ap1
BC005537
Hars2
Ppp1r12c
Aoc3
Ddx39b
Gipc1
Ap4m1
Slc6a8
Utrn
Smpd2
Grm1
Slc22a16
Lama4
Serinc1
Rfx6
Ppp1r12a
Epyc
Tmpo
Epb4.1l2
Ctgf
Usp44
Nudt4
Rfx4
Hsp90b1
Mybpc1
Mypn
Hnrnph3
Srgn
Aifm2
Tbata
Mum1
Gabrp
Rab36
Mknk2
Vps13d
Slc5a4b
Ppm1m
Wdr82
Appl2
Hint1
Rhbdf1
Ahsa2
Xpo1
Sptbn1
Hnrnpab
Havcr2
Hormad2
Clhc1
Dynll2
Xbp1
Rnf187
Srebf1
Rock2
Lpin1
Rgs9
Smc6
Prkar1a
mCG_19638
Dnmt3a
Pxdn
Taf15
Cct6b
Map3k3
Ddx5
Cacng1
Grin2c
Cluh
Pafah1b1
Unk
Acox1
Exoc7
Cygb
Nos2
Ywhae
Prpf8
Spag9
Dvl2
Nr1d1
Alox8
Vamp2
Acly
Strn3
Klhdc2
Gstz1
Serpina3n
Clmn
Papola
Rdh12
Srsf5
Mta1
Zmynd11
Esyt2
Net1
Aldh6a1
ENSMUSG00000021268
Eif5
Kif26a
Ryr2
Zkscan3
Mrs2
Mak
Id4
Prpf4b
Aopep
Lman2
Nsd1
Pdlim7
Fam193b
1700001L19Rik
Rasa1
Slc6a19
Sdha
Naip1
Jmy
Depdc1b
Mtx3
Zfyve16
Erbb2ip
Psmd6
Cfap20dc
Map3k1
Vdac2
Nr1d2
Fam213a
Camk2g
Vcl
Samd4
Ktn1
Slmap
Msmb
Nisch
Glt8d1
Itih4
Ptpn20
Tkt
Extl3
Cdadc1
Lrrc63
Lcp1
Cpb2
Epsti1
Akap11
Rgcc
Olfm4
Esco2
Ephx2
Pebp4
Spry2
Rbm26
Fbxl3
Irg1
Mbnl2
Acin1
ENSMUSG00000022187
Zfr
Npr3
Emc9
Sdr39u1
Zscan26
Ywhaz
Slc30a8
Shcbp1
Slc22a22
Adcy8
Brd1
Tef
Cacna1i
Csnk1e
Ndufa6
Slc38a2
Endou
Pmm1
Hdac7
Aco2
1810013L24Rik
Anks3
Gpt
Cyc1
Maf1
Dgat1
Oplah
Grina
Atg3
Ccdc80
Drd3
Pmm2
Lztr1
Ppil2
Top3b
Mfi2
Tex55
Lrch3
Osbpl11
Ropn1
Adcy5
Tra2b
Kng1
Adipoq
Eif4a2
Dyrk1a
Ildr1
Cd86
Brwd1
Dopey2
Son
Ifnar1
Sod1
Scaf4
Adcy6
Tarbp2
Sncg
Slc10a2
Fhl1
Gm853
Ivns1abp
Psg29
Bsg
Grm2
Il15ra
Cd4
Gcm1
Agap3
Fam132a
Iqcf3
Rhebl1
Nox3
Mpc1
Slc29a1
Vegfa
Ubr2
Stk38
Mtch1
Wdr4
Xdh
Birc6
Vit
Lhcgr
Dnase1l2
Rhoq
Meiob
Svil
Zeb1
Pkdcc
Zfp397
Thoc1
Zfp871
Adamts10
Tapbp
Ring1
Brd2
Hspa9
Gfra3
Cdc23
Bin1
Lims2
Impact
Ankhd1
Slc4a9
Smad4
Csnk1a1
Napg
Slc12a2
Camk2a
Cyb5a
Fth1
Fads3
Trpm6
Ddb1
Syt7
Tmc1
Zfand5
Slc22a19
Naa40
Ankrd22
Cdc37l1
Syvn1
Tnks2
Dmrt1
ENSMUSG00000024845
Rab1b
Pcx
Ehbp1l1
Ltbp3
Smc5
Esrra
Gpr137
Vegfb
Mark2
Lgals12
Pdcd4
Gpam
Rbp4
Pde6c
Cyp2c39
Cyp2c40
Sorbs1
Trim8
Vwa2
P4hb
Fasn
Zdhhc16
Csnk1d
Cyp2c44
Chuk
Sema4g
Mgea5
Parp6
Fyco1
Tbl1x
Huwe1
Pfkfb1
Flnb
Sat1
Rps24
Gpr143
Itga7
Dgka
Atp5b
Ttc4
Pip4k2c
Atp5a1
Echs1
Zfp511
Cyp2e1
Taldo1
Pnpla2
Muc2
Tnrc6c
Cant1
Cct8
Uqcrc1
Myo3a
Slc28a1
Slc25a10
Itgb1
Pdgfa
Xiap
Stag2
Smad7
Rp1
Adhfe1
Ppp1r42
Pth2r
Ndufs1
Nrp2
Boll
Sf3b1
Acadl
Cdk15
Clk1
Col5a2
Col3a1
Slc9a4
Il18rap
Il18r1
Gls
Unc50
Inpp4a
Ctdsp1
Igfbp5
Fn1
Des
Trip12
Ptma
Iqca
Ilkap
Cdh7
Relch
Slco6c1
Slco6d1
Gpr39
Ccnt2
F13b
Dbi
C4bp
Cacna1s
Csrp1
Arl8a
Avpr1b
Chit1
Atp2b4
Lhx4
Glul
Cnih3
Copa
Dcaf8
Fmo9
Selp
Prrx1
Axdnd1
Kctd3
Ush2a
Spata17
Marc1
Ppp2r5a
Tatdn3
Vim
mCG_10196
Nr5a1
Orc4
Pfkfb3
Prkcq
Crat
Fam73b
Sh3glb2
Gsn
Dab2ip
Mamdc4
Arrdc1
March7
Ssfa2
Xirp2
Abcb11
Lrp2
Atf2
Slc12a6
Tcp11l1
Caprin1
Elf5
Cat
Myef2
Chst1
Pex16
Terb2
Adam33
Ivd
Adra1d
Slc27a2
Trpm7
Slc20a1
Tgm6
Snrpb
Idh3b
Rrbp1
Snx5
Gzf1
mCG_18947
Tbc1d20
Rbck1
Tpx2
Rae1
Pck1
Stx16
Sall4
Car3
Psma7
Arfgap1
Stmn3
Zgpat
Map1lc3a
Epb4.1l1
Sla2
Ghrh
Src
Zfp639
Mfn1
Ttc14
Fxr1
Ect2
Lrriq4
Slc7a11
Postn
Supt20
P2ry1
Dhx36
Ppid
Tsc22d2
Ccnl1
Sike1
Hao2
Ahcyl1
Slc50a1
Tmem144
Rnpc3
Fubp1
Adam15
Zbtb7b
Scamp3
BLOM7
Apoa1bp
Cd1d1
Abca4
Ptbp2
Rorc
Col24a1
Sdr16c5
Nsmaf
Pnisr
Ndufaf4
Gabrr1
Akirin2
C9orf72
Xpa
Hemgn
Pappa
Aco1
Vcp
Ccdc107
Tpm2
Tln1
Rgp1
Npr2
Snapc3
Psip1
Usp24
Calr4
Laptm5
Lrrc38
Podn
Czib
Macf1
Hmgcl
Srsf10
Akr1a1
Dmbx1
Cyp4a31
Pink1
Hspg2
Tinagl1
Khdrbs1
Ak2
Tmem234
Srrm1
Sfpq
Rhd
Trappc3
Csf3r
Srsf4
Cdk5
Slc2a5
H6pd
Kmt2e
Ski
Cdk11b
Nadk
Ccnl2
Tas1r3
Bst1
Ablim2
Htra3
Lrpap1
Add1
Plb1
Snx17
Slc30a3
Emilin1
Dhx15
Klf3
D5Ertd579e
Guf1
Gabra4
Slc10a4
Fip1l1
Gnrhr
Sult1b1
Enam
Dmp1
Sparcl1
Coq2
Hnrnpdl
Cdk2ap1
Piwil1
Cct6a
Aldh2
Atp2a2
Anapc5
Aacs
P2rx2
Ccr9
Acads
Tfec
Actb
Spdye4
Pan3
Wdr95
Asb15
Mepce
Zkscan1
Calu
Tra2a
Luc7l2
Stra8
mCG_15082
Tbxas1
Dusp11
Cnbp
Copg1
Klf15
Wnt7a
Tmem43
Slc6a6
A2m
Plxnd1
Clec2d
Adipor2
Kdm5a
Bcl2l14
Lmo3
Bhlhe41
Lrmp
Cidec
Dyrk4
Fkbp4
Dmpk
Dmwd
U2af2
Herc2
Slc7a10
Cers3
Idh2
Plin1
Rab38
Ccdc83
Smg1
Pde3b
Aldoa
Ppp4c
Sult1a1
Dgat2
Trat1
Tgfb1i1
Itgax
Fus
Prr14
Bcat2
Tial1
