,genes,proteins
41,ENSG00000178662,"['ENSP00000318258', 'ENSP00000344042', 'ENSP00000386278', 'ENSP00000387195', 'ENSP00000412081', 'ENSP00000498841']"
42,ENSG00000188820,"['ENSP00000357593', 'ENSP00000357594', 'ENSP00000357595']"
43,ENSG00000140262,"['ENSP00000267811', 'ENSP00000331057', 'ENSP00000342459', 'ENSP00000388940', 'ENSP00000440017', 'ENSP00000444696', 'ENSP00000453264', 'ENSP00000453653', 'ENSP00000453737', 'ENSP00000453876', 'ENSP00000454102', 'ENSP00000454109', 'ENSP00000454823', 'ENSP00000456280']"
44,ENSG00000182154,ENSP00000360498
45,ENSG00000147471,"['ENSP00000333551', 'ENSP00000427778', 'ENSP00000427886', 'ENSP00000428005', 'ENSP00000429425']"
46,ENSG00000003989,"['ENSP00000004531', 'ENSP00000381164', 'ENSP00000419140', 'ENSP00000419873', 'ENSP00000430464', 'ENSP00000492016']"
47,ENSG00000117592,ENSP00000342026
48,ENSG00000123975,ENSP00000364976
49,ENSG00000086717,"['ENSP00000341892', 'ENSP00000354871', 'ENSP00000418623', 'ENSP00000419273', 'ENSP00000419948', 'ENSP00000508462', 'ENSP00000508824', 'ENSP00000509616', 'ENSP00000509623', 'ENSP00000510505']"
50,ENSG00000138439,ENSP00000376071
51,ENSG00000166329,ENSP00000299415
52,ENSG00000225805,ENSP00000485141
53,ENSG00000198018,"['ENSP00000359520', 'ENSP00000474132']"
54,ENSG00000143951,"['ENSP00000272321', 'ENSP00000381552', 'ENSP00000386592', 'ENSP00000386769', 'ENSP00000386795', 'ENSP00000387222', 'ENSP00000396226', 'ENSP00000409982', 'ENSP00000411429', 'ENSP00000430288']"
55,ENSG00000274587,"['ENSP00000477956', 'ENSP00000479532', 'ENSP00000483574', 'ENSP00000483625', 'ENSP00000483760']"
56,ENSG00000143199,"['ENSP00000356822', 'ENSP00000356825', 'ENSP00000441992', 'ENSP00000475192', 'ENSP00000476402']"
57,ENSG00000169618,ENSP00000303775
58,ENSG00000139620,"['ENSP00000415436', 'ENSP00000446493', 'ENSP00000447093', 'ENSP00000447608', 'ENSP00000448129', 'ENSP00000448131', 'ENSP00000448473', 'ENSP00000448833', 'ENSP00000449126', 'ENSP00000449747', 'ENSP00000449891']"
59,ENSG00000204310,"['ENSP00000337463', 'ENSP00000364245', 'ENSP00000364248', 'ENSP00000378874', 'ENSP00000378875', 'ENSP00000378877']"
60,ENSG00000186009,ENSP00000334216
61,ENSG00000115507,"['ENSP00000282549', 'ENSP00000355631', 'ENSP00000385782']"
62,ENSG00000164548,"['ENSP00000297071', 'ENSP00000376290', 'ENSP00000413898', 'ENSP00000441116', 'ENSP00000480822']"
63,ENSG00000087510,"['ENSP00000201031', 'ENSP00000390857']"
64,ENSG00000173678,"['ENSP00000414338', 'ENSP00000424058', 'ENSP00000440393']"
65,ENSG00000166997,"['ENSP00000262932', 'ENSP00000488362', 'ENSP00000488873']"
66,ENSG00000132361,"['ENSP00000388872', 'ENSP00000458986', 'ENSP00000459540', 'ENSP00000460101', 'ENSP00000460173', 'ENSP00000460293', 'ENSP00000461126', 'ENSP00000464732', 'ENSP00000498679']"
67,ENSG00000124260,"['ENSP00000244096', 'ENSP00000359347', 'ENSP00000391977', 'ENSP00000406161', 'ENSP00000462833', 'ENSP00000464160']"
68,ENSG00000148215,ENSP00000362784
69,ENSG00000003393,"['ENSP00000264276', 'ENSP00000386384', 'ENSP00000386948', 'ENSP00000403832', 'ENSP00000429223', 'ENSP00000504981', 'ENSP00000505043', 'ENSP00000505071', 'ENSP00000505078', 'ENSP00000505092', 'ENSP00000505187', 'ENSP00000505218', 'ENSP00000505219', 'ENSP00000505232', 'ENSP00000505249', 'ENSP00000505348', 'ENSP00000505388', 'ENSP00000505446', 'ENSP00000505473', 'ENSP00000505505', 'ENSP00000505522', 'ENSP00000505568', 'ENSP00000505576', 'ENSP00000505665', 'ENSP00000505684', 'ENSP00000505704', 'ENSP00000505710', 'ENSP00000505738', 'ENSP00000505749', 'ENSP00000505848', 'ENSP00000505954', 'ENSP00000505968', 'ENSP00000506085', 'ENSP00000506172', 'ENSP00000506173', 'ENSP00000506193', 'ENSP00000506211', 'ENSP00000506212', 'ENSP00000506274', 'ENSP00000506311', 'ENSP00000506497', 'ENSP00000506531', 'ENSP00000506547', 'ENSP00000506656']"
70,ENSG00000182916,"['ENSP00000329794', 'ENSP00000361751']"
71,ENSG00000173335,ENSP00000366170
72,ENSG00000270231,ENSP00000513610
73,ENSG00000168374,"['ENSP00000306010', 'ENSP00000417501', 'ENSP00000418388', 'ENSP00000420254', 'ENSP00000420655', 'ENSP00000475828']"
74,ENSG00000110955,"['ENSP00000262030', 'ENSP00000446489', 'ENSP00000446677', 'ENSP00000447571', 'ENSP00000448428']"
75,ENSG00000183018,"['ENSP00000333292', 'ENSP00000461410']"
76,ENSG00000240505,"['ENSP00000261652', 'ENSP00000462952', 'ENSP00000463582', 'ENSP00000464069']"
77,ENSG00000111642,"['ENSP00000349508', 'ENSP00000437506', 'ENSP00000440392', 'ENSP00000440542', 'ENSP00000444614', 'ENSP00000493471', 'ENSP00000493619', 'ENSP00000493829', 'ENSP00000494126', 'ENSP00000494247', 'ENSP00000494441', 'ENSP00000494456', 'ENSP00000494498', 'ENSP00000494571', 'ENSP00000494574', 'ENSP00000494981', 'ENSP00000495023', 'ENSP00000495160', 'ENSP00000495233', 'ENSP00000495539', 'ENSP00000495816', 'ENSP00000495834', 'ENSP00000496163', 'ENSP00000496233', 'ENSP00000496291', 'ENSP00000496358', 'ENSP00000496457', 'ENSP00000496543', 'ENSP00000496634', 'ENSP00000496660', 'ENSP00000496707']"
78,ENSG00000170522,"['ENSP00000304736', 'ENSP00000378105', 'ENSP00000424023', 'ENSP00000425488', 'ENSP00000426086']"
79,ENSG00000179241,"['ENSP00000318607', 'ENSP00000433954', 'ENSP00000434313']"
80,ENSG00000142583,"['ENSP00000366631', 'ENSP00000366641', 'ENSP00000464880', 'ENSP00000465285', 'ENSP00000465382', 'ENSP00000465507', 'ENSP00000467039', 'ENSP00000467840', 'ENSP00000468590']"
81,ENSG00000158062,"['ENSP00000324721', 'ENSP00000349601', 'ENSP00000363332', 'ENSP00000363334', 'ENSP00000363338', 'ENSP00000363339', 'ENSP00000363340', 'ENSP00000394036', 'ENSP00000395165', 'ENSP00000404956', 'ENSP00000410357', 'ENSP00000413448']"
82,ENSG00000187045,"['ENSP00000334962', 'ENSP00000371211', 'ENSP00000384964', 'ENSP00000385453', 'ENSP00000392433', 'ENSP00000397691', 'ENSP00000400317', 'ENSP00000501573']"
83,ENSG00000267534,ENSP00000496438
84,ENSG00000073417,"['ENSP00000311453', 'ENSP00000340679', 'ENSP00000378056', 'ENSP00000431976', 'ENSP00000432309', 'ENSP00000452907', 'ENSP00000453808', 'ENSP00000454094']"
85,ENSG00000169193,"['ENSP00000304355', 'ENSP00000386355', 'ENSP00000386675', 'ENSP00000406558']"
86,ENSG00000143320,"['ENSP00000357203', 'ENSP00000357204', 'ENSP00000357205', 'ENSP00000482841']"
87,ENSG00000155729,"['ENSP00000352941', 'ENSP00000386751']"
88,ENSG00000156414,"['ENSP00000387303', 'ENSP00000451637']"
89,ENSG00000124875,"['ENSP00000226317', 'ENSP00000424819']"
90,ENSG00000123407,ENSP00000243103
91,ENSG00000182901,"['ENSP00000341242', 'ENSP00000355521', 'ENSP00000355522', 'ENSP00000355523', 'ENSP00000404399', 'ENSP00000508520', 'ENSP00000508545', 'ENSP00000508697', 'ENSP00000508919', 'ENSP00000509046', 'ENSP00000509260', 'ENSP00000509302', 'ENSP00000509318', 'ENSP00000509381', 'ENSP00000509411', 'ENSP00000509822', 'ENSP00000509835', 'ENSP00000509943', 'ENSP00000510103', 'ENSP00000510116', 'ENSP00000510154', 'ENSP00000510187', 'ENSP00000510322', 'ENSP00000510326', 'ENSP00000510372', 'ENSP00000510420', 'ENSP00000510458', 'ENSP00000510676', 'ENSP00000510735']"
92,ENSG00000124120,"['ENSP00000262605', 'ENSP00000361995', 'ENSP00000361997', 'ENSP00000412720']"
93,ENSG00000139428,"['ENSP00000416136', 'ENSP00000438079', 'ENSP00000444793', 'ENSP00000445920', 'ENSP00000474582', 'ENSP00000474881', 'ENSP00000474981', 'ENSP00000483818']"
94,ENSG00000141582,"['ENSP00000269397', 'ENSP00000415348', 'ENSP00000461198']"
95,ENSG00000176619,ENSP00000327054
96,ENSG00000138246,"['ENSP00000260818', 'ENSP00000421735', 'ENSP00000426240', 'ENSP00000496825']"
97,ENSG00000035403,"['ENSP00000211998', 'ENSP00000361841', 'ENSP00000485551']"
98,ENSG00000136327,ENSP00000258829
99,ENSG00000204140,"['ENSP00000362968', 'ENSP00000396556']"
100,ENSG00000197647,"['ENSP00000339767', 'ENSP00000393416', 'ENSP00000407475', 'ENSP00000414857', 'ENSP00000446484', 'ENSP00000447205', 'ENSP00000447951', 'ENSP00000448099', 'ENSP00000448233', 'ENSP00000448806']"
101,ENSG00000188379,ENSP00000369554
102,ENSG00000187823,"['ENSP00000340590', 'ENSP00000512188', 'ENSP00000512211']"
103,ENSG00000144026,"['ENSP00000295208', 'ENSP00000399647', 'ENSP00000405509', 'ENSP00000511953', 'ENSP00000513894', 'ENSP00000513895', 'ENSP00000513896', 'ENSP00000513897']"
104,ENSG00000136827,"['ENSP00000345719', 'ENSP00000498222']"
105,ENSG00000166527,"['ENSP00000299665', 'ENSP00000371496']"
106,ENSG00000153317,"['ENSP00000350297', 'ENSP00000428463', 'ENSP00000428629', 'ENSP00000428936', 'ENSP00000429391', 'ENSP00000429614', 'ENSP00000429829', 'ENSP00000429900', 'ENSP00000430917']"
107,ENSG00000144824,"['ENSP00000377500', 'ENSP00000377502', 'ENSP00000405292', 'ENSP00000405405', 'ENSP00000417497', 'ENSP00000418198', 'ENSP00000418296', 'ENSP00000418319', 'ENSP00000420303', 'ENSP00000491559', 'ENSP00000492282', 'ENSP00000492652']"
108,ENSG00000114956,"['ENSP00000264093', 'ENSP00000306964', 'ENSP00000408209', 'ENSP00000487122']"
109,ENSG00000205495,ENSP00000369728
110,ENSG00000165349,"['ENSP00000298085', 'ENSP00000363417']"
111,ENSG00000023445,"['ENSP00000263464', 'ENSP00000431718', 'ENSP00000432907', 'ENSP00000481903', 'ENSP00000501119', 'ENSP00000501181']"
112,ENSG00000106546,"['ENSP00000242057', 'ENSP00000436466', 'ENSP00000495987']"
113,ENSG00000175315,ENSP00000311313
114,ENSG00000274102,ENSP00000483239
115,ENSG00000213967,"['ENSP00000334762', 'ENSP00000432583', 'ENSP00000433319', 'ENSP00000461349', 'ENSP00000471516']"
116,ENSG00000113946,"['ENSP00000264734', 'ENSP00000414136']"
117,ENSG00000081026,"['ENSP00000304604', 'ENSP00000358624', 'ENSP00000358628', 'ENSP00000358630']"
118,ENSG00000267467,"['ENSP00000466444', 'ENSP00000468236']"
119,ENSG00000083782,"['ENSP00000261172', 'ENSP00000448272']"
120,ENSG00000197102,"['ENSP00000348965', 'ENSP00000495022', 'ENSP00000495220', 'ENSP00000495528', 'ENSP00000495884', 'ENSP00000495944', 'ENSP00000504863', 'ENSP00000504911', 'ENSP00000505201', 'ENSP00000505294', 'ENSP00000505332', 'ENSP00000505467', 'ENSP00000505483', 'ENSP00000505519', 'ENSP00000505523', 'ENSP00000505589', 'ENSP00000505667', 'ENSP00000505734', 'ENSP00000505744', 'ENSP00000505821', 'ENSP00000505938', 'ENSP00000506124', 'ENSP00000506166', 'ENSP00000506208', 'ENSP00000506344', 'ENSP00000506351', 'ENSP00000506420', 'ENSP00000506446', 'ENSP00000506521', 'ENSP00000506637', 'ENSP00000506688', 'ENSP00000506816']"
121,ENSG00000187918,ENSP00000493016
122,ENSG00000183691,ENSP00000328181
123,ENSG00000288508,"['ENSP00000499984', 'ENSP00000500029', 'ENSP00000500393', 'ENSP00000500831']"
124,ENSG00000147224,"['ENSP00000361495', 'ENSP00000361496', 'ENSP00000361505', 'ENSP00000361512', 'ENSP00000495493', 'ENSP00000495801', 'ENSP00000496286', 'ENSP00000496554', 'ENSP00000501550', 'ENSP00000501721', 'ENSP00000501767', 'ENSP00000501977', 'ENSP00000502050', 'ENSP00000502070', 'ENSP00000502081', 'ENSP00000502149', 'ENSP00000502260', 'ENSP00000502278', 'ENSP00000502347', 'ENSP00000502439', 'ENSP00000502707', 'ENSP00000502780']"
125,ENSG00000134986,"['ENSP00000257435', 'ENSP00000368993', 'ENSP00000378996', 'ENSP00000392559', 'ENSP00000399766', 'ENSP00000402965', 'ENSP00000403383', 'ENSP00000408839', 'ENSP00000416617', 'ENSP00000422046', 'ENSP00000422278', 'ENSP00000422514', 'ENSP00000422630', 'ENSP00000423320', 'ENSP00000426834', 'ENSP00000427149', 'ENSP00000427476', 'ENSP00000427595']"
126,ENSG00000136143,"['ENSP00000392771', 'ENSP00000415091', 'ENSP00000488974', 'ENSP00000489055', 'ENSP00000489175', 'ENSP00000489542', 'ENSP00000493977', 'ENSP00000494360', 'ENSP00000494607', 'ENSP00000494723', 'ENSP00000494987', 'ENSP00000495250', 'ENSP00000495664', 'ENSP00000495674', 'ENSP00000496235']"
127,ENSG00000184162,"['ENSP00000332823', 'ENSP00000402756', 'ENSP00000438092', 'ENSP00000475559', 'ENSP00000476087']"
128,ENSG00000187323,"['ENSP00000304146', 'ENSP00000389140', 'ENSP00000397322', 'ENSP00000463131', 'ENSP00000463463', 'ENSP00000463699', 'ENSP00000463766', 'ENSP00000464277', 'ENSP00000464292', 'ENSP00000464582']"
129,ENSG00000164620,"['ENSP00000297164', 'ENSP00000409443', 'ENSP00000427992', 'ENSP00000430948']"
130,ENSG00000102554,"['ENSP00000366915', 'ENSP00000440407']"
131,ENSG00000187626,ENSP00000366509
132,ENSG00000179364,"['ENSP00000321834', 'ENSP00000393524', 'ENSP00000393559', 'ENSP00000449525', 'ENSP00000509432', 'ENSP00000510561']"
133,ENSG00000188613,"['ENSP00000345924', 'ENSP00000393275']"
134,ENSG00000144852,"['ENSP00000336528', 'ENSP00000377319', 'ENSP00000420297']"
135,ENSG00000164106,"['ENSP00000296506', 'ENSP00000425404']"
136,ENSG00000169427,"['ENSP00000302166', 'ENSP00000429847', 'ENSP00000430676', 'ENSP00000496915', 'ENSP00000497127', 'ENSP00000497893', 'ENSP00000498160', 'ENSP00000498198']"
137,ENSG00000099899,"['ENSP00000252136', 'ENSP00000384968', 'ENSP00000385807', 'ENSP00000392261', 'ENSP00000393911', 'ENSP00000395738', 'ENSP00000397744', 'ENSP00000516054']"
138,ENSG00000132846,"['ENSP00000255198', 'ENSP00000427487']"
139,ENSG00000254167,ENSP00000503582
140,ENSG00000175646,ENSP00000310515
141,ENSG00000100450,"['ENSP00000216338', 'ENSP00000371988', 'ENSP00000450576']"
142,ENSG00000130520,"['ENSP00000469028', 'ENSP00000469468', 'ENSP00000475950', 'ENSP00000477443']"
143,ENSG00000119121,"['ENSP00000351942', 'ENSP00000354006', 'ENSP00000354962', 'ENSP00000396672']"
144,ENSG00000186222,ENSP00000318128
145,ENSG00000100364,"['ENSP00000251993', 'ENSP00000336720', 'ENSP00000375485', 'ENSP00000392752', 'ENSP00000395994', 'ENSP00000399125', 'ENSP00000402514', 'ENSP00000403030', 'ENSP00000477148', 'ENSP00000477454']"
146,ENSG00000138442,"['ENSP00000261015', 'ENSP00000509107']"
147,ENSG00000172361,ENSP00000381553
148,ENSG00000178568,"['ENSP00000260943', 'ENSP00000342235', 'ENSP00000385565', 'ENSP00000403204', 'ENSP00000405564']"
149,ENSG00000135842,"['ENSP00000356481', 'ENSP00000414039']"
150,ENSG00000121039,"['ENSP00000240285', 'ENSP00000428132', 'ENSP00000429727']"
151,ENSG00000105467,"['ENSP00000344041', 'ENSP00000469430', 'ENSP00000469900', 'ENSP00000472198']"
152,ENSG00000162191,"['ENSP00000294119', 'ENSP00000303991', 'ENSP00000432189', 'ENSP00000435625', 'ENSP00000435964', 'ENSP00000478250']"
153,ENSG00000126947,ENSP00000361917
154,ENSG00000159516,ENSP00000357737
155,ENSG00000136100,"['ENSP00000367299', 'ENSP00000484968', 'ENSP00000497484']"
156,ENSG00000105516,"['ENSP00000222122', 'ENSP00000469291', 'ENSP00000469426', 'ENSP00000471220']"
157,ENSG00000187527,"['ENSP00000341942', 'ENSP00000389416']"
158,ENSG00000163312,"['ENSP00000295488', 'ENSP00000424186', 'ENSP00000424539']"
159,ENSG00000130177,"['ENSP00000252457', 'ENSP00000252458', 'ENSP00000348554', 'ENSP00000353549', 'ENSP00000364457', 'ENSP00000364459', 'ENSP00000486027', 'ENSP00000497168']"
160,ENSG00000269743,ENSP00000468980
161,ENSG00000171853,"['ENSP00000324318', 'ENSP00000371544', 'ENSP00000395420', 'ENSP00000396407', 'ENSP00000396592', 'ENSP00000399010', 'ENSP00000399909', 'ENSP00000401013', 'ENSP00000405626', 'ENSP00000406497', 'ENSP00000409960']"
162,ENSG00000121310,"['ENSP00000351125', 'ENSP00000360575', 'ENSP00000360577', 'ENSP00000438535', 'ENSP00000439264', 'ENSP00000439906', 'ENSP00000441962', 'ENSP00000446190']"
163,ENSG00000244537,ENSP00000366955
164,ENSG00000124216,ENSP00000244050
165,ENSG00000119541,"['ENSP00000238497', 'ENSP00000465846', 'ENSP00000465944']"
166,ENSG00000043591,ENSP00000358301
167,ENSG00000166592,"['ENSP00000299759', 'ENSP00000388744', 'ENSP00000461995', 'ENSP00000462559']"
