,genes,proteins
4621,ENSG00000180537,"['ENSP00000417500', 'ENSP00000417514', 'ENSP00000418717', 'ENSP00000419329', 'ENSP00000420465', 'ENSP00000441271', 'ENSP00000442021', 'ENSP00000443228']"
4622,ENSG00000103375,"['ENSP00000219660', 'ENSP00000454457']"
4623,ENSG00000164068,"['ENSP00000328287', 'ENSP00000390856', 'ENSP00000392443', 'ENSP00000394369', 'ENSP00000408490', 'ENSP00000413794', 'ENSP00000416156', 'ENSP00000487104']"
4624,ENSG00000080493,"['ENSP00000264485', 'ENSP00000307349', 'ENSP00000344272', 'ENSP00000393557', 'ENSP00000422400', 'ENSP00000491107', 'ENSP00000492496', 'ENSP00000497468', 'ENSP00000513771']"
4625,ENSG00000124935,ENSP00000244926
4626,ENSG00000099769,"['ENSP00000215539', 'ENSP00000416683', 'ENSP00000456923']"
4627,ENSG00000266967,"['ENSP00000387415', 'ENSP00000400735', 'ENSP00000400870', 'ENSP00000404894', 'ENSP00000467696', 'ENSP00000467714']"
4628,ENSG00000204524,"['ENSP00000365414', 'ENSP00000412999']"
4629,ENSG00000175575,"['ENSP00000311665', 'ENSP00000365564', 'ENSP00000438071', 'ENSP00000438124', 'ENSP00000438789', 'ENSP00000438894', 'ENSP00000439143', 'ENSP00000439747', 'ENSP00000439877', 'ENSP00000441333', 'ENSP00000441494', 'ENSP00000442434', 'ENSP00000443473']"
4630,ENSG00000172938,ENSP00000310631
4631,ENSG00000170500,"['ENSP00000377086', 'ENSP00000386823']"
4632,ENSG00000242866,"['ENSP00000394755', 'ENSP00000394866', 'ENSP00000401513', 'ENSP00000407303', 'ENSP00000415991', 'ENSP00000440413']"
4633,ENSG00000125998,ENSP00000363529
4634,ENSG00000169902,"['ENSP00000302413', 'ENSP00000391338', 'ENSP00000399642', 'ENSP00000497281']"
4635,ENSG00000211598,ENSP00000374778
4636,ENSG00000131477,"['ENSP00000253796', 'ENSP00000465725', 'ENSP00000466455', 'ENSP00000466980', 'ENSP00000467463']"
4637,ENSG00000180785,"['ENSP00000380155', 'ENSP00000431593']"
4638,ENSG00000144560,"['ENSP00000273038', 'ENSP00000391554', 'ENSP00000391932', 'ENSP00000393100', 'ENSP00000394123', 'ENSP00000394439', 'ENSP00000395557', 'ENSP00000402878', 'ENSP00000404251', 'ENSP00000404624', 'ENSP00000411670', 'ENSP00000412923', 'ENSP00000413030', 'ENSP00000416615', 'ENSP00000485472']"
4639,ENSG00000121964,"['ENSP00000241391', 'ENSP00000339750', 'ENSP00000376606', 'ENSP00000376608', 'ENSP00000376610', 'ENSP00000386581', 'ENSP00000386691', 'ENSP00000400661', 'ENSP00000401137', 'ENSP00000403869', 'ENSP00000437964', 'ENSP00000438323', 'ENSP00000484990', 'ENSP00000507713']"
4640,ENSG00000168036,"['ENSP00000344456', 'ENSP00000379486', 'ENSP00000379488', 'ENSP00000385604', 'ENSP00000387455', 'ENSP00000400508', 'ENSP00000401599', 'ENSP00000409302', 'ENSP00000411226', 'ENSP00000412219', 'ENSP00000493533', 'ENSP00000493583', 'ENSP00000493610', 'ENSP00000494053', 'ENSP00000494263', 'ENSP00000494411', 'ENSP00000494422', 'ENSP00000494467', 'ENSP00000494654', 'ENSP00000494677', 'ENSP00000494780', 'ENSP00000494845', 'ENSP00000494849', 'ENSP00000494914', 'ENSP00000495076', 'ENSP00000495161', 'ENSP00000495244', 'ENSP00000495286', 'ENSP00000495287', 'ENSP00000495360', 'ENSP00000495426', 'ENSP00000495450', 'ENSP00000495552', 'ENSP00000495719', 'ENSP00000495794', 'ENSP00000495992', 'ENSP00000496020', 'ENSP00000496021', 'ENSP00000496067', 'ENSP00000496180', 'ENSP00000496295', 'ENSP00000496385', 'ENSP00000496511', 'ENSP00000496584', 'ENSP00000496649']"
4641,ENSG00000124574,"['ENSP00000244533', 'ENSP00000361593', 'ENSP00000361608', 'ENSP00000422699']"
4642,ENSG00000160789,"['ENSP00000355292', 'ENSP00000357280', 'ENSP00000357282', 'ENSP00000357283', 'ENSP00000357284', 'ENSP00000395597', 'ENSP00000421821', 'ENSP00000424518', 'ENSP00000426535', 'ENSP00000501648', 'ENSP00000501666', 'ENSP00000501670', 'ENSP00000501795', 'ENSP00000501803', 'ENSP00000501851', 'ENSP00000502091', 'ENSP00000502256', 'ENSP00000502261', 'ENSP00000502468', 'ENSP00000502798', 'ENSP00000503633', 'ENSP00000506771', 'ENSP00000506904', 'ENSP00000508220']"
4643,ENSG00000143627,"['ENSP00000339933', 'ENSP00000376214', 'ENSP00000398037']"
4644,ENSG00000125967,"['ENSP00000246190', 'ENSP00000364386', 'ENSP00000392064', 'ENSP00000475369', 'ENSP00000475420', 'ENSP00000475755', 'ENSP00000475834', 'ENSP00000475938', 'ENSP00000476044', 'ENSP00000476165']"
4645,ENSG00000048028,"['ENSP00000003302', 'ENSP00000437450', 'ENSP00000437688', 'ENSP00000438050', 'ENSP00000440260', 'ENSP00000440799', 'ENSP00000441513', 'ENSP00000442257', 'ENSP00000442431', 'ENSP00000444991', 'ENSP00000445722', 'ENSP00000445743', 'ENSP00000446284', 'ENSP00000513008', 'ENSP00000513009']"
4646,ENSG00000168267,"['ENSP00000365687', 'ENSP00000491542', 'ENSP00000491649', 'ENSP00000491704', 'ENSP00000492055', 'ENSP00000492481']"
4647,ENSG00000198090,ENSP00000328270
4648,ENSG00000151806,"['ENSP00000281543', 'ENSP00000422681']"
4649,ENSG00000104783,"['ENSP00000470339', 'ENSP00000471900', 'ENSP00000472510', 'ENSP00000472513', 'ENSP00000496939']"
4650,ENSG00000165376,"['ENSP00000336571', 'ENSP00000441283', 'ENSP00000443230']"
4651,ENSG00000102081,"['ENSP00000218200', 'ENSP00000355115', 'ENSP00000359501', 'ENSP00000359502', 'ENSP00000359506', 'ENSP00000359508', 'ENSP00000395923', 'ENSP00000413764', 'ENSP00000477839', 'ENSP00000479528', 'ENSP00000480450', 'ENSP00000480513', 'ENSP00000481058', 'ENSP00000481474', 'ENSP00000484324', 'ENSP00000508963', 'ENSP00000509221', 'ENSP00000509270', 'ENSP00000509552', 'ENSP00000509589', 'ENSP00000509813', 'ENSP00000509963', 'ENSP00000510026', 'ENSP00000510362', 'ENSP00000510631', 'ENSP00000510686', 'ENSP00000510759']"
4652,ENSG00000204195,ENSP00000363645
4653,ENSG00000112276,"['ENSP00000313172', 'ENSP00000337259', 'ENSP00000397310']"
4654,ENSG00000175591,"['ENSP00000310305', 'ENSP00000377221', 'ENSP00000377222']"
4655,ENSG00000134049,"['ENSP00000256433', 'ENSP00000491049']"
4656,ENSG00000132693,"['ENSP00000255030', 'ENSP00000357091', 'ENSP00000357092', 'ENSP00000357093', 'ENSP00000402788']"
4657,ENSG00000074201,"['ENSP00000263309', 'ENSP00000432570', 'ENSP00000433741', 'ENSP00000433919', 'ENSP00000434311', 'ENSP00000434963', 'ENSP00000436245', 'ENSP00000475218']"
4658,ENSG00000082996,"['ENSP00000341361', 'ENSP00000355268', 'ENSP00000376628', 'ENSP00000417294', 'ENSP00000417655', 'ENSP00000418308', 'ENSP00000418863', 'ENSP00000419069', 'ENSP00000419508', 'ENSP00000419809', 'ENSP00000419836', 'ENSP00000420067', 'ENSP00000420124', 'ENSP00000420510', 'ENSP00000420667']"
4659,ENSG00000248329,"['ENSP00000478306', 'ENSP00000480045', 'ENSP00000484618']"
4660,ENSG00000164283,"['ENSP00000370810', 'ENSP00000370812', 'ENSP00000471642']"
4661,ENSG00000171365,"['ENSP00000304257', 'ENSP00000365256', 'ENSP00000365259', 'ENSP00000365276', 'ENSP00000476732', 'ENSP00000495122', 'ENSP00000496056', 'ENSP00000496353', 'ENSP00000496632']"
4662,ENSG00000100239,"['ENSP00000216061', 'ENSP00000352051', 'ENSP00000379090', 'ENSP00000379093', 'ENSP00000384532', 'ENSP00000391595', 'ENSP00000478417']"
4663,ENSG00000131747,"['ENSP00000411532', 'ENSP00000462908', 'ENSP00000464055']"
4664,ENSG00000136560,"['ENSP00000259075', 'ENSP00000376505', 'ENSP00000384235', 'ENSP00000384492', 'ENSP00000385487', 'ENSP00000385983', 'ENSP00000387439', 'ENSP00000388930', 'ENSP00000392776', 'ENSP00000398157', 'ENSP00000399934', 'ENSP00000410259', 'ENSP00000411041', 'ENSP00000412556', 'ENSP00000412622']"
4665,ENSG00000140279,"['ENSP00000373691', 'ENSP00000475084']"
4666,ENSG00000118564,"['ENSP00000344866', 'ENSP00000408679', 'ENSP00000421070', 'ENSP00000422049', 'ENSP00000423961', 'ENSP00000424423', 'ENSP00000425027', 'ENSP00000425472', 'ENSP00000425541', 'ENSP00000426993']"
4667,ENSG00000234243,"['ENSP00000392487', 'ENSP00000396786', 'ENSP00000432037', 'ENSP00000480790']"
4668,ENSG00000009790,"['ENSP00000355990', 'ENSP00000355991', 'ENSP00000355992', 'ENSP00000355993', 'ENSP00000383743', 'ENSP00000417417', 'ENSP00000417665', 'ENSP00000418906', 'ENSP00000419180', 'ENSP00000436982']"
4669,ENSG00000173598,"['ENSP00000338352', 'ENSP00000406612', 'ENSP00000448032', 'ENSP00000448504', 'ENSP00000448620', 'ENSP00000449552', 'ENSP00000449724']"
4670,ENSG00000205593,"['ENSP00000391524', 'ENSP00000414072']"
4671,ENSG00000099998,"['ENSP00000263112', 'ENSP00000330080', 'ENSP00000381340', 'ENSP00000402917', 'ENSP00000412964']"
4672,ENSG00000240386,ENSP00000334187
4673,ENSG00000163214,"['ENSP00000387404', 'ENSP00000397841', 'ENSP00000405111', 'ENSP00000479840', 'ENSP00000482275']"
4674,ENSG00000075275,"['ENSP00000262738', 'ENSP00000414689', 'ENSP00000501353', 'ENSP00000501367', 'ENSP00000501382', 'ENSP00000501397', 'ENSP00000501499', 'ENSP00000501512']"
4675,ENSG00000257218,"['ENSP00000229384', 'ENSP00000446872', 'ENSP00000448397']"
4676,ENSG00000273079,"['ENSP00000477455', 'ENSP00000486411', 'ENSP00000486677', 'ENSP00000489997']"
4677,ENSG00000162882,"['ENSP00000294973', 'ENSP00000412601']"
4678,ENSG00000168314,"['ENSP00000312293', 'ENSP00000373261', 'ENSP00000388148', 'ENSP00000388827', 'ENSP00000389055', 'ENSP00000400491', 'ENSP00000401312', 'ENSP00000405549', 'ENSP00000409071', 'ENSP00000409730', 'ENSP00000410720', 'ENSP00000413771', 'ENSP00000506926', 'ENSP00000508923']"
4679,ENSG00000178996,"['ENSP00000317332', 'ENSP00000342276', 'ENSP00000370817']"
4680,ENSG00000055957,"['ENSP00000273283', 'ENSP00000384589', 'ENSP00000395836', 'ENSP00000417340', 'ENSP00000419957', 'ENSP00000443847']"
4681,ENSG00000130396,"['ENSP00000252692', 'ENSP00000341118', 'ENSP00000355771', 'ENSP00000375956', 'ENSP00000375960', 'ENSP00000383623', 'ENSP00000383625', 'ENSP00000383626', 'ENSP00000404595', 'ENSP00000414675', 'ENSP00000421441', 'ENSP00000422166', 'ENSP00000423035', 'ENSP00000424188', 'ENSP00000426462', 'ENSP00000507324']"
4682,ENSG00000164938,"['ENSP00000344215', 'ENSP00000390063']"
4683,ENSG00000062582,"['ENSP00000318158', 'ENSP00000407625']"
4684,ENSG00000105220,"['ENSP00000348877', 'ENSP00000405573', 'ENSP00000464797', 'ENSP00000464798', 'ENSP00000465858', 'ENSP00000466191', 'ENSP00000466851', 'ENSP00000467221', 'ENSP00000467590', 'ENSP00000467670', 'ENSP00000468201', 'ENSP00000468298', 'ENSP00000495129', 'ENSP00000496041']"
4685,ENSG00000107742,"['ENSP00000321108', 'ENSP00000362201', 'ENSP00000397715']"
4686,ENSG00000244274,"['ENSP00000349822', 'ENSP00000354250', 'ENSP00000361795', 'ENSP00000361797', 'ENSP00000361802', 'ENSP00000361805', 'ENSP00000361807', 'ENSP00000361808', 'ENSP00000414161']"
4687,ENSG00000132031,"['ENSP00000383894', 'ENSP00000398753']"
4688,ENSG00000178105,"['ENSP00000314348', 'ENSP00000432032', 'ENSP00000497432', 'ENSP00000508658', 'ENSP00000508781', 'ENSP00000508895', 'ENSP00000509365', 'ENSP00000509891', 'ENSP00000510670']"
4689,ENSG00000274183,ENSP00000484261
4690,ENSG00000278196,ENSP00000482937
4691,ENSG00000198056,"['ENSP00000350491', 'ENSP00000448178', 'ENSP00000449806', 'ENSP00000450185', 'ENSP00000500157', 'ENSP00000516451', 'ENSP00000516452']"
4692,ENSG00000155380,"['ENSP00000358640', 'ENSP00000397106', 'ENSP00000399104', 'ENSP00000416167', 'ENSP00000441065', 'ENSP00000505879']"
4693,ENSG00000143536,ENSP00000271835
4694,ENSG00000173039,"['ENSP00000311508', 'ENSP00000384273', 'ENSP00000431153', 'ENSP00000431304', 'ENSP00000432537', 'ENSP00000433144', 'ENSP00000433526', 'ENSP00000433616', 'ENSP00000434008', 'ENSP00000434098', 'ENSP00000434372', 'ENSP00000434745', 'ENSP00000435290', 'ENSP00000435531', 'ENSP00000436545', 'ENSP00000437137', 'ENSP00000483705']"
4695,ENSG00000143437,"['ENSP00000346372', 'ENSP00000351407', 'ENSP00000423851', 'ENSP00000425363', 'ENSP00000425899', 'ENSP00000427571']"
4696,ENSG00000206579,"['ENSP00000328326', 'ENSP00000480076']"
4697,ENSG00000241394,"['ENSP00000398951', 'ENSP00000400783', 'ENSP00000402739', 'ENSP00000403906', 'ENSP00000408520']"
4698,ENSG00000283776,ENSP00000491332
4699,ENSG00000174775,"['ENSP00000309845', 'ENSP00000380722', 'ENSP00000380723', 'ENSP00000388246', 'ENSP00000407586', 'ENSP00000434023', 'ENSP00000507303', 'ENSP00000507989']"
4700,ENSG00000104888,"['ENSP00000221485', 'ENSP00000470338', 'ENSP00000472086']"
4701,ENSG00000239975,ENSP00000374800
4702,ENSG00000198053,"['ENSP00000348307', 'ENSP00000351621', 'ENSP00000382941', 'ENSP00000478763']"
4703,ENSG00000131791,ENSP00000254101
4704,ENSG00000144810,"['ENSP00000261037', 'ENSP00000273342', 'ENSP00000387589', 'ENSP00000482679', 'ENSP00000498483']"
4705,ENSG00000196139,"['ENSP00000369927', 'ENSP00000401327', 'ENSP00000474188', 'ENSP00000474882']"
4706,ENSG00000078114,"['ENSP00000366326', 'ENSP00000393896', 'ENSP00000489224', 'ENSP00000489545', 'ENSP00000489562', 'ENSP00000501594']"
4707,ENSG00000205339,"['ENSP00000369042', 'ENSP00000433313', 'ENSP00000435235', 'ENSP00000486575']"
4708,ENSG00000088682,"['ENSP00000262507', 'ENSP00000454992', 'ENSP00000455256', 'ENSP00000455495', 'ENSP00000455516', 'ENSP00000456174', 'ENSP00000456728', 'ENSP00000458023']"
4709,ENSG00000147145,"['ENSP00000408205', 'ENSP00000476460', 'ENSP00000478261']"
4710,ENSG00000156886,ENSP00000373854
4711,ENSG00000126453,"['ENSP00000246784', 'ENSP00000246785', 'ENSP00000393803', 'ENSP00000469216', 'ENSP00000470644', 'ENSP00000471919', 'ENSP00000472214', 'ENSP00000483272', 'ENSP00000513795', 'ENSP00000513796', 'ENSP00000513797', 'ENSP00000513798', 'ENSP00000513799', 'ENSP00000513800', 'ENSP00000513801', 'ENSP00000513802', 'ENSP00000513803']"
4712,ENSG00000239779,"['ENSP00000233615', 'ENSP00000377542', 'ENSP00000386812', 'ENSP00000408816']"
4713,ENSG00000096433,"['ENSP00000363435', 'ENSP00000475177']"
4714,ENSG00000169814,"['ENSP00000306477', 'ENSP00000388212', 'ENSP00000394277', 'ENSP00000397113', 'ENSP00000400995', 'ENSP00000403775', 'ENSP00000494864', 'ENSP00000495254', 'ENSP00000495866', 'ENSP00000499944', 'ENSP00000500069', 'ENSP00000500131', 'ENSP00000500210', 'ENSP00000500267', 'ENSP00000500288', 'ENSP00000500325', 'ENSP00000500530']"
4715,ENSG00000082293,"['ENSP00000416556', 'ENSP00000479481', 'ENSP00000480474']"
4716,ENSG00000072609,"['ENSP00000266880', 'ENSP00000320557', 'ENSP00000392395', 'ENSP00000398735', 'ENSP00000416431', 'ENSP00000441837', 'ENSP00000443237', 'ENSP00000443761', 'ENSP00000445371', 'ENSP00000475247', 'ENSP00000478791', 'ENSP00000483699']"
4717,ENSG00000161016,"['ENSP00000262584', 'ENSP00000378378', 'ENSP00000433464', 'ENSP00000433703', 'ENSP00000434535', 'ENSP00000435313', 'ENSP00000436460', 'ENSP00000437062']"
4718,ENSG00000039068,"['ENSP00000261769', 'ENSP00000414946', 'ENSP00000454782', 'ENSP00000458139', 'ENSP00000463170']"
4719,ENSG00000140905,"['ENSP00000319531', 'ENSP00000455019', 'ENSP00000455287', 'ENSP00000455579', 'ENSP00000457630', 'ENSP00000457645', 'ENSP00000491127', 'ENSP00000492163', 'ENSP00000492187']"
4720,ENSG00000135211,ENSP00000257663
4721,ENSG00000120832,"['ENSP00000240050', 'ENSP00000376575', 'ENSP00000447651', 'ENSP00000448246', 'ENSP00000448343', 'ENSP00000448854']"
4722,ENSG00000187848,"['ENSP00000341419', 'ENSP00000343339', 'ENSP00000343904', 'ENSP00000344502', 'ENSP00000345095', 'ENSP00000405531', 'ENSP00000444477', 'ENSP00000494644']"
4723,ENSG00000137752,"['ENSP00000410076', 'ENSP00000431947', 'ENSP00000433138', 'ENSP00000434250', 'ENSP00000434303', 'ENSP00000434779', 'ENSP00000435536', 'ENSP00000436875', 'ENSP00000512112', 'ENSP00000512113', 'ENSP00000512114', 'ENSP00000512115', 'ENSP00000512116', 'ENSP00000512117', 'ENSP00000512118', 'ENSP00000512119', 'ENSP00000512120', 'ENSP00000512253', 'ENSP00000512254']"
4724,ENSG00000116473,"['ENSP00000348786', 'ENSP00000358723', 'ENSP00000509234']"
4725,ENSG00000285005,"['ENSP00000493606', 'ENSP00000494251', 'ENSP00000496194']"
4726,ENSG00000108515,"['ENSP00000324105', 'ENSP00000428502', 'ENSP00000428811', 'ENSP00000430055', 'ENSP00000430554', 'ENSP00000430636', 'ENSP00000431087', 'ENSP00000464874', 'ENSP00000465697', 'ENSP00000467270', 'ENSP00000467444']"
4727,ENSG00000139151,"['ENSP00000266505', 'ENSP00000326397', 'ENSP00000438629', 'ENSP00000438679', 'ENSP00000438826', 'ENSP00000440781', 'ENSP00000443320', 'ENSP00000443762', 'ENSP00000444383', 'ENSP00000444611', 'ENSP00000445026', 'ENSP00000445287', 'ENSP00000445880', 'ENSP00000445889', 'ENSP00000497636']"
4728,ENSG00000143919,"['ENSP00000367755', 'ENSP00000384039', 'ENSP00000385124', 'ENSP00000385587', 'ENSP00000406936', 'ENSP00000407594', 'ENSP00000410783', 'ENSP00000482360']"
4729,ENSG00000129744,ENSP00000250693
4730,ENSG00000076258,ENSP00000356723
4731,ENSG00000164270,"['ENSP00000353915', 'ENSP00000367120', 'ENSP00000427913', 'ENSP00000428320', 'ENSP00000429634', 'ENSP00000430451', 'ENSP00000430874', 'ENSP00000430979', 'ENSP00000435904']"
4732,ENSG00000069482,ENSP00000265643
4733,ENSG00000204532,ENSP00000435234
4734,ENSG00000262611,"['ENSP00000460360', 'ENSP00000486842']"
4735,ENSG00000135111,"['ENSP00000257566', 'ENSP00000257567']"
4736,ENSG00000163320,"['ENSP00000381428', 'ENSP00000381429', 'ENSP00000418769', 'ENSP00000419459', 'ENSP00000420374', 'ENSP00000502581']"
4737,ENSG00000113569,"['ENSP00000231498', 'ENSP00000371265', 'ENSP00000422019', 'ENSP00000423484']"
4738,ENSG00000079931,"['ENSP00000336998', 'ENSP00000356940', 'ENSP00000376202']"
4739,ENSG00000186625,"['ENSP00000335106', 'ENSP00000335180', 'ENSP00000356381', 'ENSP00000390322', 'ENSP00000398993']"
4740,ENSG00000276657,"['ENSP00000484458', 'ENSP00000487676', 'ENSP00000488371', 'ENSP00000488701', 'ENSP00000488777', 'ENSP00000488877']"
4741,ENSG00000162366,"['ENSP00000294338', 'ENSP00000360952']"
4742,ENSG00000107295,ENSP00000369981
4743,ENSG00000073350,"['ENSP00000167462', 'ENSP00000364375', 'ENSP00000376333', 'ENSP00000461953', 'ENSP00000462439', 'ENSP00000463150', 'ENSP00000463390', 'ENSP00000463501', 'ENSP00000463721', 'ENSP00000464397', 'ENSP00000464451', 'ENSP00000464483', 'ENSP00000464598', 'ENSP00000464603']"
4744,ENSG00000184988,"['ENSP00000439835', 'ENSP00000439844', 'ENSP00000466820', 'ENSP00000468220', 'ENSP00000483246']"
4745,ENSG00000164087,"['ENSP00000296484', 'ENSP00000378421', 'ENSP00000418968']"
4746,ENSG00000282716,ENSP00000488395
4747,ENSG00000211945,ENSP00000375014
4748,ENSG00000141084,"['ENSP00000316589', 'ENSP00000392808', 'ENSP00000473395', 'ENSP00000473396', 'ENSP00000473538', 'ENSP00000473554']"
4749,ENSG00000135966,"['ENSP00000258449', 'ENSP00000377027', 'ENSP00000471434']"
4750,ENSG00000204279,"['ENSP00000364089', 'ENSP00000429571']"
4751,ENSG00000008256,"['ENSP00000297044', 'ENSP00000379967']"
4752,ENSG00000136169,"['ENSP00000326477', 'ENSP00000346175', 'ENSP00000482240']"
4753,ENSG00000175121,"['ENSP00000312381', 'ENSP00000361875']"
4754,ENSG00000100033,"['ENSP00000334726', 'ENSP00000349577', 'ENSP00000396806', 'ENSP00000409742', 'ENSP00000410805', 'ENSP00000413941', 'ENSP00000480347']"
4755,ENSG00000112078,"['ENSP00000265344', 'ENSP00000362836', 'ENSP00000412205', 'ENSP00000417126', 'ENSP00000418459', 'ENSP00000419118', 'ENSP00000419943', 'ENSP00000439118']"
4756,ENSG00000112742,"['ENSP00000230510', 'ENSP00000358813', 'ENSP00000421406', 'ENSP00000421636', 'ENSP00000422936', 'ENSP00000424851', 'ENSP00000427483', 'ENSP00000487202']"
4757,ENSG00000204209,"['ENSP00000266000', 'ENSP00000363668', 'ENSP00000390008', 'ENSP00000396876', 'ENSP00000406008', 'ENSP00000482399', 'ENSP00000516212', 'ENSP00000516213']"
4758,ENSG00000147010,"['ENSP00000369020', 'ENSP00000369039', 'ENSP00000369049', 'ENSP00000380921', 'ENSP00000514509', 'ENSP00000514510', 'ENSP00000514511', 'ENSP00000514512', 'ENSP00000514513', 'ENSP00000514514', 'ENSP00000514515', 'ENSP00000514516', 'ENSP00000514517', 'ENSP00000514518', 'ENSP00000514519', 'ENSP00000514520', 'ENSP00000514521', 'ENSP00000514522', 'ENSP00000514544', 'ENSP00000514545', 'ENSP00000514546', 'ENSP00000514547', 'ENSP00000514548', 'ENSP00000514549', 'ENSP00000514550', 'ENSP00000514551', 'ENSP00000514552', 'ENSP00000514553', 'ENSP00000514555', 'ENSP00000514710', 'ENSP00000514711', 'ENSP00000514712', 'ENSP00000514713', 'ENSP00000514714']"
4759,ENSG00000113108,"['ENSP00000346378', 'ENSP00000349177', 'ENSP00000350171', 'ENSP00000351389', 'ENSP00000402591', 'ENSP00000422718', 'ENSP00000424317', 'ENSP00000426107', 'ENSP00000427272']"
4760,ENSG00000285496,"['ENSP00000495092', 'ENSP00000495443']"
4761,ENSG00000138069,"['ENSP00000381540', 'ENSP00000386451', 'ENSP00000386672', 'ENSP00000387286', 'ENSP00000497078']"
4762,ENSG00000108823,"['ENSP00000262018', 'ENSP00000345522', 'ENSP00000422030', 'ENSP00000422817', 'ENSP00000423168', 'ENSP00000426571', 'ENSP00000426606', 'ENSP00000508041', 'ENSP00000508134']"
4763,ENSG00000142444,"['ENSP00000270502', 'ENSP00000466926']"
4764,ENSG00000168955,"['ENSP00000303028', 'ENSP00000416565']"
4765,ENSG00000229353,"['ENSP00000387438', 'ENSP00000448326']"
4766,ENSG00000035681,"['ENSP00000038176', 'ENSP00000411012', 'ENSP00000430195', 'ENSP00000430982', 'ENSP00000498107']"
4767,ENSG00000181009,"['ENSP00000322866', 'ENSP00000493190']"
4768,ENSG00000162227,"['ENSP00000294168', 'ENSP00000434662', 'ENSP00000435116', 'ENSP00000435443']"
4769,ENSG00000188643,"['ENSP00000357692', 'ENSP00000357693', 'ENSP00000357694', 'ENSP00000357695']"
4770,ENSG00000116852,"['ENSP00000328494', 'ENSP00000353724', 'ENSP00000411831', 'ENSP00000433808']"
4771,ENSG00000189308,"['ENSP00000341947', 'ENSP00000398265', 'ENSP00000407139', 'ENSP00000421045', 'ENSP00000421651', 'ENSP00000423475', 'ENSP00000425844', 'ENSP00000427413']"
4772,ENSG00000185432,"['ENSP00000331787', 'ENSP00000447542', 'ENSP00000448286', 'ENSP00000448785', 'ENSP00000450239']"
4773,ENSG00000175193,"['ENSP00000310676', 'ENSP00000325421', 'ENSP00000392926', 'ENSP00000396691', 'ENSP00000398043', 'ENSP00000402137', 'ENSP00000402689', 'ENSP00000404421', 'ENSP00000491109', 'ENSP00000491186', 'ENSP00000492596']"
4774,ENSG00000160352,"['ENSP00000459573', 'ENSP00000469616', 'ENSP00000477828', 'ENSP00000478345', 'ENSP00000479085', 'ENSP00000480816', 'ENSP00000482783', 'ENSP00000484530', 'ENSP00000484576']"
4775,ENSG00000068383,"['ENSP00000340707', 'ENSP00000357582', 'ENSP00000357583', 'ENSP00000390749', 'ENSP00000390936']"
4776,ENSG00000169862,"['ENSP00000307134', 'ENSP00000421000', 'ENSP00000421093', 'ENSP00000422389', 'ENSP00000424296', 'ENSP00000426510', 'ENSP00000426625', 'ENSP00000426887', 'ENSP00000516315', 'ENSP00000516316', 'ENSP00000516317']"
4777,ENSG00000179930,"['ENSP00000344129', 'ENSP00000501285']"
4778,ENSG00000132718,ENSP00000357307
4779,ENSG00000167720,"['ENSP00000339435', 'ENSP00000458814', 'ENSP00000460581', 'ENSP00000461125', 'ENSP00000461343', 'ENSP00000461482', 'ENSP00000461589', 'ENSP00000476682']"
4780,ENSG00000147160,"['ENSP00000421172', 'ENSP00000427523']"
4781,ENSG00000179580,"['ENSP00000325794', 'ENSP00000454886', 'ENSP00000456566']"
4782,ENSG00000166689,"['ENSP00000347883', 'ENSP00000431455', 'ENSP00000433467', 'ENSP00000434812', 'ENSP00000435389', 'ENSP00000435806', 'ENSP00000489780', 'ENSP00000490167', 'ENSP00000490177', 'ENSP00000512848', 'ENSP00000513972']"
4783,ENSG00000220201,"['ENSP00000384434', 'ENSP00000385403', 'ENSP00000516709']"
4784,ENSG00000149150,"['ENSP00000278426', 'ENSP00000432241', 'ENSP00000432361', 'ENSP00000434312', 'ENSP00000435486', 'ENSP00000435647', 'ENSP00000435673', 'ENSP00000435803']"
4785,ENSG00000259490,ENSP00000474509
4786,ENSG00000115137,"['ENSP00000264711', 'ENSP00000370187', 'ENSP00000440086']"
4787,ENSG00000241945,"['ENSP00000291576', 'ENSP00000411749']"
4788,ENSG00000146216,"['ENSP00000259750', 'ENSP00000515493']"
4789,ENSG00000285375,ENSP00000495234
4790,ENSG00000126934,"['ENSP00000262948', 'ENSP00000471763']"
4791,ENSG00000157450,"['ENSP00000288199', 'ENSP00000452732', 'ENSP00000452842', 'ENSP00000452919', 'ENSP00000453015', 'ENSP00000453248', 'ENSP00000453872']"
4792,ENSG00000177182,"['ENSP00000325506', 'ENSP00000428174', 'ENSP00000428402', 'ENSP00000428986', 'ENSP00000429244', 'ENSP00000429544', 'ENSP00000429869']"
4793,ENSG00000262755,ENSP00000460880
4794,ENSG00000140688,"['ENSP00000317579', 'ENSP00000398074', 'ENSP00000456050', 'ENSP00000456602', 'ENSP00000456775', 'ENSP00000457087', 'ENSP00000459952']"
4795,ENSG00000177943,"['ENSP00000319388', 'ENSP00000411339', 'ENSP00000435513']"
4796,ENSG00000042781,"['ENSP00000305941', 'ENSP00000355909', 'ENSP00000501296']"
4797,ENSG00000187474,"['ENSP00000341821', 'ENSP00000470471']"
4798,ENSG00000172568,"['ENSP00000310594', 'ENSP00000429434']"
4799,ENSG00000265190,"['ENSP00000462181', 'ENSP00000462880', 'ENSP00000463091', 'ENSP00000463244', 'ENSP00000464486', 'ENSP00000478026']"
