,genes,proteins
1772,ENSMUSG00000070780,"['ENSMUSP00000092348', 'ENSMUSP00000092349', 'ENSMUSP00000109353', 'ENSMUSP00000109355', 'ENSMUSP00000128016', 'ENSMUSP00000144112', 'ENSMUSP00000144122', 'ENSMUSP00000144287', 'ENSMUSP00000144325', 'ENSMUSP00000144505']"
1773,ENSMUSG00000075044,ENSMUSP00000108923
1774,ENSMUSG00000091476,"['ENSMUSP00000091828', 'ENSMUSP00000142187', 'ENSMUSP00000158854', 'ENSMUSP00000158912', 'ENSMUSP00000158918', 'ENSMUSP00000159130']"
1775,ENSMUSG00000059816,ENSMUSP00000060463
1776,ENSMUSG00000027935,"['ENSMUSP00000070588', 'ENSMUSP00000102996']"
1777,ENSMUSG00000034021,"['ENSMUSP00000016569', 'ENSMUSP00000038421', 'ENSMUSP00000106112', 'ENSMUSP00000144572']"
1778,ENSMUSG00000057329,"['ENSMUSP00000108371', 'ENSMUSP00000139856']"
1779,ENSMUSG00000063362,"['ENSMUSP00000072382', 'ENSMUSP00000106365', 'ENSMUSP00000119161']"
1780,ENSMUSG00000050164,ENSMUSP00000126191
1781,ENSMUSG00000067186,"['ENSMUSP00000084368', 'ENSMUSP00000149593']"
1782,ENSMUSG00000007877,ENSMUSP00000008021
1783,ENSMUSG00000032688,"['ENSMUSP00000048376', 'ENSMUSP00000153585', 'ENSMUSP00000158079', 'ENSMUSP00000158449', 'ENSMUSP00000158550']"
1784,ENSMUSG00000015653,"['ENSMUSP00000015797', 'ENSMUSP00000111084', 'ENSMUSP00000111085', 'ENSMUSP00000111086', 'ENSMUSP00000111087', 'ENSMUSP00000116910', 'ENSMUSP00000132501']"
1785,ENSMUSG00000095917,"['ENSMUSP00000087276', 'ENSMUSP00000148916']"
1786,ENSMUSG00000019969,"['ENSMUSP00000048363', 'ENSMUSP00000098786']"
1787,ENSMUSG00000015023,ENSMUSP00000047898
1788,ENSMUSG00000024593,"['ENSMUSP00000075174', 'ENSMUSP00000116814']"
1789,ENSMUSG00000037007,"['ENSMUSP00000041796', 'ENSMUSP00000116846', 'ENSMUSP00000127561']"
1790,ENSMUSG00000090627,"['ENSMUSP00000127661', 'ENSMUSP00000133130']"
1791,ENSMUSG00000013928,"['ENSMUSP00000014072', 'ENSMUSP00000103822']"
1792,ENSMUSG00000096038,ENSMUSP00000136279
1793,ENSMUSG00000022366,"['ENSMUSP00000022995', 'ENSMUSP00000105825', 'ENSMUSP00000123667']"
1794,ENSMUSG00000066748,"['ENSMUSP00000083229', 'ENSMUSP00000150284']"
1795,ENSMUSG00000022505,ENSMUSP00000077466
1796,ENSMUSG00000055150,"['ENSMUSP00000083503', 'ENSMUSP00000104199', 'ENSMUSP00000146578', 'ENSMUSP00000146592', 'ENSMUSP00000146611', 'ENSMUSP00000147154', 'ENSMUSP00000147228']"
1797,ENSMUSG00000021038,"['ENSMUSP00000021426', 'ENSMUSP00000072527', 'ENSMUSP00000137190']"
1798,ENSMUSG00000055980,ENSMUSP00000063795
1799,ENSMUSG00000079227,"['ENSMUSP00000107069', 'ENSMUSP00000127328', 'ENSMUSP00000129848', 'ENSMUSP00000149719']"
1800,ENSMUSG00000025781,"['ENSMUSP00000026887', 'ENSMUSP00000110546', 'ENSMUSP00000110547', 'ENSMUSP00000116368', 'ENSMUSP00000116508', 'ENSMUSP00000117182', 'ENSMUSP00000123100']"
1801,ENSMUSG00000059934,"['ENSMUSP00000073689', 'ENSMUSP00000107603', 'ENSMUSP00000135877']"
1802,ENSMUSG00000013858,"['ENSMUSP00000056792', 'ENSMUSP00000119572']"
1803,ENSMUSG00000034297,ENSMUSP00000044268
1804,ENSMUSG00000007659,"['ENSMUSP00000007803', 'ENSMUSP00000105445', 'ENSMUSP00000114911', 'ENSMUSP00000115611', 'ENSMUSP00000117716', 'ENSMUSP00000120024', 'ENSMUSP00000134596', 'ENSMUSP00000134614']"
1805,ENSMUSG00000046791,ENSMUSP00000057984
1806,ENSMUSG00000001435,"['ENSMUSP00000072538', 'ENSMUSP00000080358', 'ENSMUSP00000101049', 'ENSMUSP00000122580', 'ENSMUSP00000151291']"
1807,ENSMUSG00000000776,"['ENSMUSP00000000793', 'ENSMUSP00000137614']"
1808,ENSMUSG00000060747,ENSMUSP00000077473
1809,ENSMUSG00000075573,ENSMUSP00000098061
1810,ENSMUSG00000005534,"['ENSMUSP00000088837', 'ENSMUSP00000146651', 'ENSMUSP00000146818']"
1811,ENSMUSG00000028799,"['ENSMUSP00000065733', 'ENSMUSP00000101686', 'ENSMUSP00000128499']"
1812,ENSMUSG00000032773,"['ENSMUSP00000042632', 'ENSMUSP00000126103', 'ENSMUSP00000135356']"
1813,ENSMUSG00000047352,"['ENSMUSP00000133083', 'ENSMUSP00000150077', 'ENSMUSP00000150494', 'ENSMUSP00000151213']"
1814,ENSMUSG00000044345,"['ENSMUSP00000053733', 'ENSMUSP00000139254']"
1815,ENSMUSG00000050730,"['ENSMUSP00000091419', 'ENSMUSP00000138500', 'ENSMUSP00000149949']"
1816,ENSMUSG00000026831,"['ENSMUSP00000083557', 'ENSMUSP00000116111']"
1817,ENSMUSG00000027881,"['ENSMUSP00000029480', 'ENSMUSP00000142929', 'ENSMUSP00000143724']"
1818,ENSMUSG00000075002,ENSMUSP00000097255
1819,ENSMUSG00000032239,"['ENSMUSP00000034763', 'ENSMUSP00000150271', 'ENSMUSP00000150554']"
1820,ENSMUSG00000076498,ENSMUSP00000100100
1821,ENSMUSG00000024939,"['ENSMUSP00000097538', 'ENSMUSP00000112257', 'ENSMUSP00000124294']"
1822,ENSMUSG00000001909,"['ENSMUSP00000001974', 'ENSMUSP00000105389', 'ENSMUSP00000105390', 'ENSMUSP00000116712', 'ENSMUSP00000117140', 'ENSMUSP00000122526', 'ENSMUSP00000134723', 'ENSMUSP00000135273', 'ENSMUSP00000135327', 'ENSMUSP00000135510', 'ENSMUSP00000135540', 'ENSMUSP00000135675', 'ENSMUSP00000135680']"
1823,ENSMUSG00000064057,"['ENSMUSP00000043325', 'ENSMUSP00000075387']"
1824,ENSMUSG00000022129,ENSMUSP00000022725
1825,ENSMUSG00000025930,"['ENSMUSP00000027062', 'ENSMUSP00000140741']"
1826,ENSMUSG00000020780,"['ENSMUSP00000021133', 'ENSMUSP00000102033']"
1827,ENSMUSG00000031389,"['ENSMUSP00000067477', 'ENSMUSP00000110046', 'ENSMUSP00000110047', 'ENSMUSP00000110048', 'ENSMUSP00000110049', 'ENSMUSP00000114877', 'ENSMUSP00000115193', 'ENSMUSP00000117602', 'ENSMUSP00000120650', 'ENSMUSP00000121215', 'ENSMUSP00000122794']"
1828,ENSMUSG00000032360,"['ENSMUSP00000058230', 'ENSMUSP00000139377']"
1829,ENSMUSG00000074715,ENSMUSP00000096847
1830,ENSMUSG00000042541,ENSMUSP00000040741
1831,ENSMUSG00000096452,"['ENSMUSP00000126332', 'ENSMUSP00000143684']"
1832,ENSMUSG00000063522,ENSMUSP00000076264
1833,ENSMUSG00000052889,"['ENSMUSP00000064812', 'ENSMUSP00000070019', 'ENSMUSP00000138788']"
1834,ENSMUSG00000032537,"['ENSMUSP00000035129', 'ENSMUSP00000082261', 'ENSMUSP00000139470']"
1835,ENSMUSG00000072625,ENSMUSP00000098286
1836,ENSMUSG00000055942,"['ENSMUSP00000069239', 'ENSMUSP00000138871', 'ENSMUSP00000138932']"
1837,ENSMUSG00000021277,"['ENSMUSP00000021706', 'ENSMUSP00000058361', 'ENSMUSP00000112517', 'ENSMUSP00000119010']"
1838,ENSMUSG00000076928,"['ENSMUSP00000100459', 'ENSMUSP00000143014']"
1839,ENSMUSG00000037334,ENSMUSP00000040435
1840,ENSMUSG00000029518,"['ENSMUSP00000031492', 'ENSMUSP00000138402']"
1841,ENSMUSG00000026312,"['ENSMUSP00000027542', 'ENSMUSP00000108321', 'ENSMUSP00000120231', 'ENSMUSP00000123394', 'ENSMUSP00000129715', 'ENSMUSP00000138046', 'ENSMUSP00000139465', 'ENSMUSP00000140650', 'ENSMUSP00000140966']"
1842,ENSMUSG00000021840,"['ENSMUSP00000127475', 'ENSMUSP00000132875', 'ENSMUSP00000154193', 'ENSMUSP00000154689']"
1843,ENSMUSG00000057113,"['ENSMUSP00000075067', 'ENSMUSP00000090891', 'ENSMUSP00000098926', 'ENSMUSP00000104978']"
1844,ENSMUSG00000052406,"['ENSMUSP00000070815', 'ENSMUSP00000109653', 'ENSMUSP00000121599']"
1845,ENSMUSG00000027347,"['ENSMUSP00000099593', 'ENSMUSP00000133449', 'ENSMUSP00000134027', 'ENSMUSP00000134167', 'ENSMUSP00000134592', 'ENSMUSP00000136423']"
1846,ENSMUSG00000046688,"['ENSMUSP00000054036', 'ENSMUSP00000126692', 'ENSMUSP00000127700', 'ENSMUSP00000132309']"
1847,ENSMUSG00000047002,ENSMUSP00000055001
1848,ENSMUSG00000075054,"['ENSMUSP00000097324', 'ENSMUSP00000152693']"
1849,ENSMUSG00000062963,"['ENSMUSP00000078914', 'ENSMUSP00000106933', 'ENSMUSP00000137977']"
1850,ENSMUSG00000054520,"['ENSMUSP00000070890', 'ENSMUSP00000098874', 'ENSMUSP00000112554', 'ENSMUSP00000114416', 'ENSMUSP00000123177', 'ENSMUSP00000136671']"
1851,ENSMUSG00000028708,"['ENSMUSP00000019677', 'ENSMUSP00000102123', 'ENSMUSP00000114941', 'ENSMUSP00000116410', 'ENSMUSP00000117261', 'ENSMUSP00000118071']"
1852,ENSMUSG00000029595,ENSMUSP00000031591
1853,ENSMUSG00000042596,ENSMUSP00000037699
1854,ENSMUSG00000031843,ENSMUSP00000034303
1855,ENSMUSG00000038784,"['ENSMUSP00000044137', 'ENSMUSP00000110640', 'ENSMUSP00000110645', 'ENSMUSP00000144352', 'ENSMUSP00000144409']"
1856,ENSMUSG00000057278,ENSMUSP00000086987
1857,ENSMUSG00000049892,ENSMUSP00000051959
1858,ENSMUSG00000043909,"['ENSMUSP00000106277', 'ENSMUSP00000106278', 'ENSMUSP00000114457', 'ENSMUSP00000117548', 'ENSMUSP00000119425', 'ENSMUSP00000119793', 'ENSMUSP00000120451', 'ENSMUSP00000122629']"
1859,ENSMUSG00000054381,"['ENSMUSP00000070685', 'ENSMUSP00000145805']"
1860,ENSMUSG00000037973,ENSMUSP00000045332
1861,ENSMUSG00000020656,"['ENSMUSP00000020985', 'ENSMUSP00000082689']"
1862,ENSMUSG00000028948,"['ENSMUSP00000081133', 'ENSMUSP00000099486', 'ENSMUSP00000146142']"
1863,ENSMUSG00000113061,ENSMUSP00000152211
1864,ENSMUSG00000047511,"['ENSMUSP00000056876', 'ENSMUSP00000104824', 'ENSMUSP00000145057', 'ENSMUSP00000150961']"
1865,ENSMUSG00000034452,ENSMUSP00000035616
1866,ENSMUSG00000022967,"['ENSMUSP00000023689', 'ENSMUSP00000112670', 'ENSMUSP00000119160', 'ENSMUSP00000120945', 'ENSMUSP00000156101', 'ENSMUSP00000156150']"
1867,ENSMUSG00000030816,"['ENSMUSP00000033088', 'ENSMUSP00000146004', 'ENSMUSP00000146310']"
1868,ENSMUSG00000021895,"['ENSMUSP00000046486', 'ENSMUSP00000153124', 'ENSMUSP00000153396']"
1869,ENSMUSG00000042742,"['ENSMUSP00000040578', 'ENSMUSP00000144704']"
1870,ENSMUSG00000078953,ENSMUSP00000105073
1871,ENSMUSG00000045176,ENSMUSP00000059143
1872,ENSMUSG00000022582,"['ENSMUSP00000023246', 'ENSMUSP00000140173']"
1873,ENSMUSG00000021998,"['ENSMUSP00000116033', 'ENSMUSP00000116271', 'ENSMUSP00000117137', 'ENSMUSP00000117984', 'ENSMUSP00000118721', 'ENSMUSP00000121201', 'ENSMUSP00000121376']"
1874,ENSMUSG00000073965,ENSMUSP00000095818
1875,ENSMUSG00000020411,ENSMUSP00000020679
1876,ENSMUSG00000041702,"['ENSMUSP00000046951', 'ENSMUSP00000152426']"
1877,ENSMUSG00000116563,ENSMUSP00000156010
1878,ENSMUSG00000024357,"['ENSMUSP00000025215', 'ENSMUSP00000157444', 'ENSMUSP00000157506', 'ENSMUSP00000157521', 'ENSMUSP00000157636', 'ENSMUSP00000157667', 'ENSMUSP00000157758', 'ENSMUSP00000157932', 'ENSMUSP00000158247']"
1879,ENSMUSG00000029392,"['ENSMUSP00000050014', 'ENSMUSP00000142757', 'ENSMUSP00000142887', 'ENSMUSP00000143250']"
1880,ENSMUSG00000028654,"['ENSMUSP00000030407', 'ENSMUSP00000101859', 'ENSMUSP00000117232']"
1881,ENSMUSG00000024253,ENSMUSP00000025101
1882,ENSMUSG00000025854,"['ENSMUSP00000026972', 'ENSMUSP00000124584']"
1883,ENSMUSG00000029127,"['ENSMUSP00000092429', 'ENSMUSP00000109748', 'ENSMUSP00000114955', 'ENSMUSP00000115513', 'ENSMUSP00000117174', 'ENSMUSP00000117913', 'ENSMUSP00000122109', 'ENSMUSP00000143893', 'ENSMUSP00000144200']"
1884,ENSMUSG00000070604,"['ENSMUSP00000103611', 'ENSMUSP00000144692', 'ENSMUSP00000145378']"
1885,ENSMUSG00000029507,"['ENSMUSP00000031481', 'ENSMUSP00000031483', 'ENSMUSP00000083844', 'ENSMUSP00000108045', 'ENSMUSP00000115143', 'ENSMUSP00000115468', 'ENSMUSP00000130814']"
1886,ENSMUSG00000026258,ENSMUSP00000027476
1887,ENSMUSG00000060303,"['ENSMUSP00000071419', 'ENSMUSP00000147020', 'ENSMUSP00000149392']"
1888,ENSMUSG00000040433,"['ENSMUSP00000091315', 'ENSMUSP00000114300', 'ENSMUSP00000120040', 'ENSMUSP00000121753', 'ENSMUSP00000121871']"
1889,ENSMUSG00000109336,"['ENSMUSP00000040486', 'ENSMUSP00000146657', 'ENSMUSP00000146984', 'ENSMUSP00000147037']"
1890,ENSMUSG00000048347,ENSMUSP00000052113
1891,ENSMUSG00000100241,ENSMUSP00000139829
1892,ENSMUSG00000020083,"['ENSMUSP00000027719', 'ENSMUSP00000063504', 'ENSMUSP00000114453', 'ENSMUSP00000115712', 'ENSMUSP00000115865', 'ENSMUSP00000116424', 'ENSMUSP00000118912', 'ENSMUSP00000119289', 'ENSMUSP00000119343', 'ENSMUSP00000119982']"
1893,ENSMUSG00000064129,ENSMUSP00000077562
1894,ENSMUSG00000071291,"['ENSMUSP00000075487', 'ENSMUSP00000089108', 'ENSMUSP00000129177', 'ENSMUSP00000132285']"
1895,ENSMUSG00000061119,"['ENSMUSP00000075429', 'ENSMUSP00000146597']"
1896,ENSMUSG00000041303,ENSMUSP00000039420
1897,ENSMUSG00000060147,"['ENSMUSP00000017188', 'ENSMUSP00000041016', 'ENSMUSP00000075848', 'ENSMUSP00000126162', 'ENSMUSP00000126287', 'ENSMUSP00000126450', 'ENSMUSP00000127224', 'ENSMUSP00000127768', 'ENSMUSP00000128267', 'ENSMUSP00000130356', 'ENSMUSP00000131115', 'ENSMUSP00000131900', 'ENSMUSP00000132433']"
1898,ENSMUSG00000064065,"['ENSMUSP00000077215', 'ENSMUSP00000084110', 'ENSMUSP00000101242', 'ENSMUSP00000114267', 'ENSMUSP00000118510', 'ENSMUSP00000128131']"
1899,ENSMUSG00000027010,"['ENSMUSP00000122103', 'ENSMUSP00000139371']"
1900,ENSMUSG00000024620,"['ENSMUSP00000025522', 'ENSMUSP00000110929']"
1901,ENSMUSG00000017999,"['ENSMUSP00000018143', 'ENSMUSP00000135265', 'ENSMUSP00000135815']"
1902,ENSMUSG00000050425,ENSMUSP00000061878
1903,ENSMUSG00000069036,ENSMUSP00000088717
1904,ENSMUSG00000017733,ENSMUSP00000099389
1905,ENSMUSG00000033470,"['ENSMUSP00000040715', 'ENSMUSP00000125958']"
1906,ENSMUSG00000022856,"['ENSMUSP00000023562', 'ENSMUSP00000156055']"
1907,ENSMUSG00000054423,"['ENSMUSP00000064706', 'ENSMUSP00000108276', 'ENSMUSP00000108277', 'ENSMUSP00000136076', 'ENSMUSP00000153426', 'ENSMUSP00000153630']"
1908,ENSMUSG00000026374,ENSMUSP00000027623
1909,ENSMUSG00000051455,"['ENSMUSP00000097947', 'ENSMUSP00000116246']"
1910,ENSMUSG00000017679,"['ENSMUSP00000105032', 'ENSMUSP00000105035', 'ENSMUSP00000121527', 'ENSMUSP00000121669', 'ENSMUSP00000128922']"
1911,ENSMUSG00000025658,"['ENSMUSP00000026750', 'ENSMUSP00000108132']"
1912,ENSMUSG00000018547,ENSMUSP00000018691
1913,ENSMUSG00000042492,"['ENSMUSP00000113307', 'ENSMUSP00000146053']"
1914,ENSMUSG00000062272,"['ENSMUSP00000079823', 'ENSMUSP00000150986', 'ENSMUSP00000151009']"
1915,ENSMUSG00000095934,ENSMUSP00000136662
1916,ENSMUSG00000040818,"['ENSMUSP00000039361', 'ENSMUSP00000144906', 'ENSMUSP00000152966', 'ENSMUSP00000153187', 'ENSMUSP00000153200']"
1917,ENSMUSG00000042642,"['ENSMUSP00000051366', 'ENSMUSP00000103049', 'ENSMUSP00000103052', 'ENSMUSP00000122252', 'ENSMUSP00000125654']"
1918,ENSMUSG00000029490,"['ENSMUSP00000031455', 'ENSMUSP00000158690']"
1919,ENSMUSG00000018909,"['ENSMUSP00000032995', 'ENSMUSP00000095866', 'ENSMUSP00000124351', 'ENSMUSP00000124483', 'ENSMUSP00000125056', 'ENSMUSP00000136963']"
1920,ENSMUSG00000047053,ENSMUSP00000062098
1921,ENSMUSG00000056692,"['ENSMUSP00000074585', 'ENSMUSP00000110509', 'ENSMUSP00000110513', 'ENSMUSP00000156539', 'ENSMUSP00000156628', 'ENSMUSP00000156684']"
1922,ENSMUSG00000018661,"['ENSMUSP00000018805', 'ENSMUSP00000068394', 'ENSMUSP00000115773', 'ENSMUSP00000117223', 'ENSMUSP00000119050', 'ENSMUSP00000119202', 'ENSMUSP00000123001']"
1923,ENSMUSG00000022489,"['ENSMUSP00000023132', 'ENSMUSP00000153722', 'ENSMUSP00000153865', 'ENSMUSP00000154483']"
1924,ENSMUSG00000063802,"['ENSMUSP00000078886', 'ENSMUSP00000145614', 'ENSMUSP00000145954', 'ENSMUSP00000145960', 'ENSMUSP00000146248']"
1925,ENSMUSG00000021067,ENSMUSP00000021467
1926,ENSMUSG00000072707,"['ENSMUSP00000146305', 'ENSMUSP00000149019']"
1927,ENSMUSG00000045665,ENSMUSP00000061997
1928,ENSMUSG00000078348,ENSMUSP00000100771
1929,ENSMUSG00000079112,ENSMUSP00000106369
1930,ENSMUSG00000056509,"['ENSMUSP00000145226', 'ENSMUSP00000146705', 'ENSMUSP00000156094']"
1931,ENSMUSG00000039826,"['ENSMUSP00000041848', 'ENSMUSP00000109438', 'ENSMUSP00000134787', 'ENSMUSP00000135464', 'ENSMUSP00000135521', 'ENSMUSP00000135893']"
1932,ENSMUSG00000108022,ENSMUSP00000145242
1933,ENSMUSG00000038146,"['ENSMUSP00000085016', 'ENSMUSP00000158243']"
1934,ENSMUSG00000037818,"['ENSMUSP00000103712', 'ENSMUSP00000103713', 'ENSMUSP00000124430', 'ENSMUSP00000144946', 'ENSMUSP00000145006', 'ENSMUSP00000145007', 'ENSMUSP00000145095', 'ENSMUSP00000145150', 'ENSMUSP00000145313']"
1935,ENSMUSG00000055780,"['ENSMUSP00000069140', 'ENSMUSP00000110519']"
1936,ENSMUSG00000039748,"['ENSMUSP00000039376', 'ENSMUSP00000141316', 'ENSMUSP00000141526', 'ENSMUSP00000141568', 'ENSMUSP00000141624', 'ENSMUSP00000141770', 'ENSMUSP00000141870', 'ENSMUSP00000142091']"
1937,ENSMUSG00000024597,ENSMUSP00000111023
1938,ENSMUSG00000040236,"['ENSMUSP00000036541', 'ENSMUSP00000146674']"
1939,ENSMUSG00000041439,"['ENSMUSP00000084991', 'ENSMUSP00000115398', 'ENSMUSP00000122881']"
1940,ENSMUSG00000004043,"['ENSMUSP00000004145', 'ENSMUSP00000102979', 'ENSMUSP00000102980', 'ENSMUSP00000117204', 'ENSMUSP00000120039']"
1941,ENSMUSG00000001802,"['ENSMUSP00000113406', 'ENSMUSP00000114026']"
1942,ENSMUSG00000033222,"['ENSMUSP00000076208', 'ENSMUSP00000119032']"
1943,ENSMUSG00000116179,ENSMUSP00000073172
1944,ENSMUSG00000070459,"['ENSMUSP00000149113', 'ENSMUSP00000149411', 'ENSMUSP00000149523']"
1945,ENSMUSG00000063116,"['ENSMUSP00000050456', 'ENSMUSP00000150291', 'ENSMUSP00000150765']"
1946,ENSMUSG00000027227,ENSMUSP00000106180
1947,ENSMUSG00000022098,"['ENSMUSP00000022693', 'ENSMUSP00000154104', 'ENSMUSP00000154121', 'ENSMUSP00000154610']"
1948,ENSMUSG00000038766,"['ENSMUSP00000096470', 'ENSMUSP00000102822', 'ENSMUSP00000102827', 'ENSMUSP00000121283']"
1949,ENSMUSG00000056854,ENSMUSP00000077354
1950,ENSMUSG00000032948,ENSMUSP00000053447
1951,ENSMUSG00000022324,"['ENSMUSP00000022947', 'ENSMUSP00000128202', 'ENSMUSP00000154040', 'ENSMUSP00000154572', 'ENSMUSP00000154740']"
1952,ENSMUSG00000030103,"['ENSMUSP00000032194', 'ENSMUSP00000132157']"
1953,ENSMUSG00000018927,ENSMUSP00000019071
1954,ENSMUSG00000039621,"['ENSMUSP00000037180', 'ENSMUSP00000096679', 'ENSMUSP00000104869']"
1955,ENSMUSG00000073209,ENSMUSP00000099122
1956,ENSMUSG00000027219,"['ENSMUSP00000028652', 'ENSMUSP00000106153', 'ENSMUSP00000106154']"
1957,ENSMUSG00000016495,"['ENSMUSP00000016639', 'ENSMUSP00000114754', 'ENSMUSP00000118295', 'ENSMUSP00000118559', 'ENSMUSP00000118861', 'ENSMUSP00000120466']"
1958,ENSMUSG00000021933,"['ENSMUSP00000022501', 'ENSMUSP00000128114']"
1959,ENSMUSG00000074639,ENSMUSP00000089691
1960,ENSMUSG00000037681,"['ENSMUSP00000038757', 'ENSMUSP00000140567']"
1961,ENSMUSG00000062376,ENSMUSP00000074447
1962,ENSMUSG00000030219,ENSMUSP00000032343
1963,ENSMUSG00000095519,ENSMUSP00000100318
1964,ENSMUSG00000109058,"['ENSMUSP00000050694', 'ENSMUSP00000149585', 'ENSMUSP00000150853']"
1965,ENSMUSG00000071379,"['ENSMUSP00000071756', 'ENSMUSP00000152772']"
1966,ENSMUSG00000036257,"['ENSMUSP00000043286', 'ENSMUSP00000116922', 'ENSMUSP00000117126', 'ENSMUSP00000120877', 'ENSMUSP00000122560', 'ENSMUSP00000151351', 'ENSMUSP00000151660']"
1967,ENSMUSG00000029602,"['ENSMUSP00000031606', 'ENSMUSP00000119913', 'ENSMUSP00000123266']"
1968,ENSMUSG00000030779,"['ENSMUSP00000049528', 'ENSMUSP00000071519', 'ENSMUSP00000095670', 'ENSMUSP00000115530', 'ENSMUSP00000145759', 'ENSMUSP00000155989']"
1969,ENSMUSG00000024777,ENSMUSP00000025695
1970,ENSMUSG00000054920,"['ENSMUSP00000098752', 'ENSMUSP00000144732', 'ENSMUSP00000144976', 'ENSMUSP00000145269']"
1971,ENSMUSG00000002365,ENSMUSP00000002436
1972,ENSMUSG00000096554,ENSMUSP00000097213
1973,ENSMUSG00000040701,"['ENSMUSP00000043996', 'ENSMUSP00000115441', 'ENSMUSP00000116698', 'ENSMUSP00000122796', 'ENSMUSP00000128427']"
1974,ENSMUSG00000096515,"['ENSMUSP00000100126', 'ENSMUSP00000143410']"
1975,ENSMUSG00000004849,"['ENSMUSP00000106709', 'ENSMUSP00000115941', 'ENSMUSP00000119458', 'ENSMUSP00000120895']"
1976,ENSMUSG00000010051,"['ENSMUSP00000010195', 'ENSMUSP00000108006', 'ENSMUSP00000120599', 'ENSMUSP00000122601']"
1977,ENSMUSG00000039795,"['ENSMUSP00000037459', 'ENSMUSP00000104014', 'ENSMUSP00000122048', 'ENSMUSP00000139317']"
1978,ENSMUSG00000061613,"['ENSMUSP00000014684', 'ENSMUSP00000129864', 'ENSMUSP00000157485', 'ENSMUSP00000157853', 'ENSMUSP00000157991']"
1979,ENSMUSG00000079036,"['ENSMUSP00000124360', 'ENSMUSP00000124445', 'ENSMUSP00000124565', 'ENSMUSP00000124691', 'ENSMUSP00000124892', 'ENSMUSP00000124933', 'ENSMUSP00000125372', 'ENSMUSP00000140233']"
1980,ENSMUSG00000038236,"['ENSMUSP00000048648', 'ENSMUSP00000134610', 'ENSMUSP00000134641', 'ENSMUSP00000138790', 'ENSMUSP00000140519']"
1981,ENSMUSG00000015340,"['ENSMUSP00000015484', 'ENSMUSP00000128963', 'ENSMUSP00000128993']"
1982,ENSMUSG00000102752,ENSMUSP00000136757
1983,ENSMUSG00000015533,"['ENSMUSP00000053891', 'ENSMUSP00000153056']"
1984,ENSMUSG00000022025,"['ENSMUSP00000022603', 'ENSMUSP00000126958']"
1985,ENSMUSG00000004366,ENSMUSP00000004480
1986,ENSMUSG00000039191,"['ENSMUSP00000040694', 'ENSMUSP00000084618', 'ENSMUSP00000109496', 'ENSMUSP00000143846', 'ENSMUSP00000143866', 'ENSMUSP00000144617']"
1987,ENSMUSG00000020142,"['ENSMUSP00000004634', 'ENSMUSP00000105223']"
1988,ENSMUSG00000079547,ENSMUSP00000109870
1989,ENSMUSG00000024942,"['ENSMUSP00000025891', 'ENSMUSP00000127498', 'ENSMUSP00000157973', 'ENSMUSP00000158205', 'ENSMUSP00000158309']"
1990,ENSMUSG00000021967,ENSMUSP00000022538
1991,ENSMUSG00000040328,"['ENSMUSP00000058544', 'ENSMUSP00000099846', 'ENSMUSP00000136647', 'ENSMUSP00000144951', 'ENSMUSP00000145429', 'ENSMUSP00000158965', 'ENSMUSP00000159088']"
1992,ENSMUSG00000026305,"['ENSMUSP00000063878', 'ENSMUSP00000065850', 'ENSMUSP00000095254', 'ENSMUSP00000095255', 'ENSMUSP00000139497', 'ENSMUSP00000139811', 'ENSMUSP00000139902', 'ENSMUSP00000141024']"
1993,ENSMUSG00000059173,"['ENSMUSP00000088260', 'ENSMUSP00000099711', 'ENSMUSP00000099712', 'ENSMUSP00000099713', 'ENSMUSP00000099714', 'ENSMUSP00000099715', 'ENSMUSP00000120188', 'ENSMUSP00000139327']"
1994,ENSMUSG00000072596,ENSMUSP00000074386
1995,ENSMUSG00000035199,ENSMUSP00000041503
1996,ENSMUSG00000096769,ENSMUSP00000139807
1997,ENSMUSG00000028070,ENSMUSP00000029708
1998,ENSMUSG00000026012,ENSMUSP00000027165
1999,ENSMUSG00000096497,"['ENSMUSP00000077005', 'ENSMUSP00000149391']"
2000,ENSMUSG00000026100,"['ENSMUSP00000027269', 'ENSMUSP00000140249']"
2001,ENSMUSG00000044145,ENSMUSP00000061355
2002,ENSMUSG00000040363,"['ENSMUSP00000048024', 'ENSMUSP00000068618', 'ENSMUSP00000111174', 'ENSMUSP00000111175', 'ENSMUSP00000116258', 'ENSMUSP00000120046', 'ENSMUSP00000122829']"
2003,ENSMUSG00000021719,ENSMUSP00000066614
2004,ENSMUSG00000110067,ENSMUSP00000158956
2005,ENSMUSG00000027531,"['ENSMUSP00000068174', 'ENSMUSP00000113860', 'ENSMUSP00000116088', 'ENSMUSP00000141345']"
2006,ENSMUSG00000020227,"['ENSMUSP00000020448', 'ENSMUSP00000118038', 'ENSMUSP00000123604']"
2007,ENSMUSG00000020140,"['ENSMUSP00000020350', 'ENSMUSP00000133707', 'ENSMUSP00000133860']"
2008,ENSMUSG00000016356,"['ENSMUSP00000104484', 'ENSMUSP00000114654', 'ENSMUSP00000115291', 'ENSMUSP00000117514', 'ENSMUSP00000153871']"
